step_idx,timestamp_s,episode_id,episode_name,event_class,observed_pa,expected_pa,residual_pa,drift_pa,slew_pa,token,r_norm,delta_norm,sigma_norm
27,1620,0,normal_a,0,1565476,1580000,-14524.50,20895.9000,-1394.5833,Nominal,-0.029049,0.104480,-0.000697
28,1680,0,normal_a,0,1548041,1578661,-30620.00,11588.7000,-268.2583,Nominal,-0.061240,0.057944,-0.000134
29,1740,0,normal_a,0,1634918,1580000,54917.50,17581.5500,1425.6250,Nominal,0.109835,0.087908,0.000713
30,1800,0,normal_a,0,1593924,1580000,13923.00,25909.2500,-683.2417,Nominal,0.027846,0.129546,-0.000342
31,1860,0,normal_a,0,1616348,1582654,33694.00,21740.3000,329.5167,Nominal,0.067388,0.108701,0.000165
32,1920,0,normal_a,0,1637250,1588946,48304.75,22067.0750,243.5125,Nominal,0.096610,0.110335,0.000122
33,1980,0,normal_a,0,1597154,1588946,8208.25,15651.5000,-668.2750,Nominal,0.016417,0.078257,-0.000334
34,2040,0,normal_a,0,1478038,1588946,-110907.75,-1017.0250,-1985.2667,Nominal,-0.221815,-0.005085,-0.000993
35,2100,0,normal_a,0,1584520,1589222,-4701.50,6744.4250,1770.1042,Nominal,-0.009403,0.033722,0.000885
36,2160,0,normal_a,0,1624546,1594168,30378.75,2867.2500,584.6708,Nominal,0.060757,0.014336,0.000292
37,2220,0,normal_a,0,1637106,1595783,41323.50,8452.0500,182.4125,Nominal,0.082647,0.042260,0.000091
38,2280,0,normal_a,0,1622234,1606751,15482.50,13062.3000,-430.6833,Nominal,0.030965,0.065311,-0.000215
39,2340,0,normal_a,0,1545916,1606751,-60835.00,1487.0500,-1271.9583,Nominal,-0.121670,0.007435,-0.000636
40,2400,0,normal_a,0,1654098,1616841,37257.25,3820.4750,1634.8708,Nominal,0.074514,0.019102,0.000817
41,2460,0,normal_a,0,1435870,1606751,-170881.50,-16637.0750,-3468.9792,Nominal,-0.341763,-0.083185,-0.001734
42,2520,0,normal_a,0,1650218,1616841,33376.25,-18129.9250,3404.2958,Nominal,0.066753,-0.090650,0.001702
43,2580,0,normal_a,0,1665339,1619291,46048.25,-14345.9250,211.2000,Nominal,0.092096,-0.071730,0.000106
44,2640,0,normal_a,0,1550556,1606751,-56194.50,-8874.6000,-1704.0458,Nominal,-0.112389,-0.044373,-0.000852
45,2700,0,normal_a,0,1539398,1606751,-67353.50,-15139.8000,-185.9833,Nominal,-0.134707,-0.075699,-0.000093
46,2760,0,normal_a,0,1523448,1606751,-83303.00,-26507.9750,-265.8250,Nominal,-0.166606,-0.132540,-0.000133
47,2820,0,normal_a,0,1609323,1612836,-3512.50,-30991.5750,1329.8417,Nominal,-0.007025,-0.154958,0.000665
48,2880,0,normal_a,0,1554738,1603238,-48500.00,-37389.8250,-749.7917,Nominal,-0.097000,-0.186949,-0.000375
49,2940,0,normal_a,0,1731362,1612836,118527.00,-19453.6250,2783.7833,Nominal,0.237054,-0.097268,0.001392
50,3000,0,normal_a,0,1343174,1612836,-269661.00,-50145.4500,-6469.8000,Nominal,-0.539322,-0.250727,-0.003235
51,3060,0,normal_a,0,1658577,1612836,45741.50,-28483.1500,5256.7083,Nominal,0.091483,-0.142416,0.002628
52,3120,0,normal_a,0,1567220,1603238,-36019.00,-35422.6750,-1362.6750,Nominal,-0.072038,-0.177113,-0.000681
53,3180,0,normal_a,0,1723242,1603238,120003.00,-28027.2000,2600.3667,Nominal,0.240006,-0.140136,0.001300
54,3240,0,normal_a,0,1395300,1595539,-200239.25,-42431.6750,-5337.3708,Nominal,-0.400479,-0.212158,-0.002669
55,3300,0,normal_a,0,1568606,1595539,-26932.75,-38389.6000,2888.4417,Nominal,-0.053865,-0.191948,0.001444
56,3360,0,normal_a,0,1637552,1595539,42012.75,-25858.0250,1149.0917,Nominal,0.084026,-0.129290,0.000575
57,3420,0,normal_a,0,1562992,1595539,-32547.25,-28761.5000,-1242.6667,Nominal,-0.065094,-0.143808,-0.000621
58,3480,0,normal_a,0,1516536,1595539,-79002.25,-31811.7250,-774.2500,Nominal,-0.158004,-0.159059,-0.000387
59,3540,0,normal_a,0,1606334,1595539,10794.75,-42584.9500,1496.6167,Nominal,0.021590,-0.212925,0.000748
60,3600,0,normal_a,0,1698063,1601744,96319.25,-5986.9250,1425.4083,Nominal,0.192638,-0.029935,0.000713
61,3660,0,normal_a,0,1534360,1590837,-56476.75,-16208.7500,-2546.6000,Nominal,-0.112953,-0.081044,-0.001273
62,3720,0,normal_a,0,1574322,1579422,-5099.00,-13116.7500,856.2958,Nominal,-0.010198,-0.065584,0.000428
63,3780,0,normal_a,0,1492020,1571464,-79443.75,-33061.4250,-1239.0792,Nominal,-0.158887,-0.165307,-0.000620
64,3840,0,normal_a,0,1614640,1579422,35218.00,-9515.7000,1911.0292,Nominal,0.070436,-0.047579,0.000956
65,3900,0,normal_a,0,1522630,1571464,-48834.25,-11705.8500,-1400.8708,Nominal,-0.097669,-0.058529,-0.000700
66,3960,0,normal_a,0,1530235,1567913,-37677.75,-19674.9000,185.9417,Nominal,-0.075356,-0.098375,0.000093
67,4020,0,normal_a,0,1677720,1567913,109807.75,-5439.4000,2458.0917,Nominal,0.219615,-0.027197,0.001229
68,4080,0,normal_a,0,1537606,1565106,-27499.00,-289.0750,-2288.4458,Nominal,-0.054998,-0.001445,-0.001144
69,4140,0,normal_a,0,1637326,1567913,69412.75,5572.7250,1615.1958,Nominal,0.138825,0.027864,0.000808
70,4200,0,normal_a,0,1608942,1567913,41029.75,43.7750,-473.0500,Nominal,0.082059,0.000219,-0.000237
71,4260,0,normal_a,0,1575874,1571464,4409.75,6132.4250,-610.3333,Nominal,0.008819,0.030662,-0.000305
72,4320,0,normal_a,0,1681089,1571464,109624.75,17604.8000,1753.5833,Nominal,0.219250,0.088024,0.000877
73,4380,0,normal_a,0,1436854,1567913,-131058.25,12443.3500,-4011.3833,Nominal,-0.262116,0.062217,-0.002006
74,4440,0,normal_a,0,1667634,1571464,96169.75,18538.5250,3787.1333,Nominal,0.192339,0.092693,0.001894
75,4500,0,normal_a,0,1564318,1571464,-7146.25,22707.3250,-1721.9333,Nominal,-0.014292,0.113537,-0.000861
76,4560,0,normal_a,0,1528793,1571464,-42671.25,22207.9750,-592.0833,Nominal,-0.085343,0.111040,-0.000296
77,4620,0,normal_a,0,1617794,1571464,46330.25,15860.2250,1483.3583,Nominal,0.092661,0.079301,0.000742
78,4680,0,normal_a,0,1488314,1571464,-83150.75,10295.0500,-2158.0167,Nominal,-0.166301,0.051475,-0.001079
79,4740,0,normal_a,0,1603282,1571464,31817.75,6535.5500,1916.1417,Nominal,0.063635,0.032678,0.000958
80,4800,0,normal_a,0,1537321,1571464,-34143.25,-981.7500,-1099.3500,Nominal,-0.068286,-0.004909,-0.000550
81,4860,0,normal_a,0,1584362,1571464,12897.25,-133.0000,784.0083,Nominal,0.025795,-0.000665,0.000392
82,4920,0,normal_a,0,1670882,1575098,95783.25,-1517.1500,1381.4333,Nominal,0.191567,-0.007586,0.000691
83,4980,0,normal_a,0,1471380,1571464,-100083.75,1580.3000,-3264.4500,Nominal,-0.200167,0.007902,-0.001632
84,5040,0,normal_a,0,1591256,1575098,16157.25,-6420.9500,1937.3500,Nominal,0.032315,-0.032105,0.000969
85,5100,0,normal_a,0,1547205,1575098,-27893.25,-8495.6500,-734.1750,Nominal,-0.055787,-0.042478,-0.000367
86,5160,0,normal_a,0,1726637,1575098,151538.75,10925.3500,2990.5333,Nominal,0.303077,0.054627,0.001495
87,5220,0,normal_a,0,1637030,1580118,56911.75,11983.5000,-1577.1167,Nominal,0.113823,0.059917,-0.000789
88,5280,0,normal_a,0,1536949,1580118,-43168.75,15981.7000,-1668.0083,Nominal,-0.086337,0.079909,-0.000834
89,5340,0,normal_a,0,1651684,1580118,71566.25,19956.5500,1912.2500,Nominal,0.143132,0.099783,0.000956
90,5400,0,normal_a,0,1465692,1575098,-109406.25,12430.2500,-3016.2083,Nominal,-0.218812,0.062151,-0.001508
91,5460,0,normal_a,0,1597409,1580118,17291.25,12869.6500,2111.6250,Nominal,0.034583,0.064348,0.001056
92,5520,0,normal_a,0,1677403,1587808,89594.50,12250.7750,1205.0542,Nominal,0.179189,0.061254,0.000603
93,5580,0,normal_a,0,1663114,1594332,68781.25,29137.2750,-346.8875,Nominal,0.137563,0.145686,-0.000173
94,5640,0,normal_a,0,1545288,1587808,-42521.00,23269.4500,-1855.0375,Nominal,-0.085042,0.116347,-0.000928
95,5700,0,normal_a,0,1653652,1594332,59320.25,31990.8000,1697.3542,Nominal,0.118640,0.159954,0.000849
96,5760,0,normal_a,0,1555772,1594332,-38560.25,12980.9000,-1631.3417,Nominal,-0.077120,0.064905,-0.000816
97,5820,0,normal_a,0,1678856,1594332,84523.75,15742.1000,2051.4000,Nominal,0.169047,0.078711,0.001026
98,5880,0,normal_a,0,1515600,1594332,-78732.25,12185.7500,-2720.9333,Nominal,-0.157465,0.060929,-0.001360
99,5940,0,normal_a,0,1611486,1594332,17153.25,6744.4500,1598.0917,Nominal,0.034306,0.033722,0.000799
100,6000,0,normal_a,0,1503616,1587808,-84193.00,9265.7750,-1689.1042,Nominal,-0.168386,0.046329,-0.000845
101,6060,0,normal_a,0,1543650,1587808,-44158.00,3120.8500,667.2500,Nominal,-0.088316,0.015604,0.000334
102,6120,0,normal_a,0,1655409,1587808,67600.50,921.4500,1862.6417,Nominal,0.135201,0.004607,0.000931
103,6180,0,normal_a,0,1610716,1594332,16383.75,-4318.3000,-853.6125,Nominal,0.032767,-0.021591,-0.000427
104,6240,0,normal_a,0,1441923,1587808,-145885.50,-14654.7500,-2704.4875,Nominal,-0.291771,-0.073274,-0.001352
105,6300,0,normal_a,0,1594270,1592763,1507.25,-20436.0500,2456.5458,Nominal,0.003014,-0.102180,0.001228
106,6360,0,normal_a,0,1600434,1595840,4594.50,-16120.5750,51.4542,Nominal,0.009189,-0.080603,0.000026
107,6420,0,normal_a,0,1526544,1592763,-66218.75,-31194.8250,-1180.2208,Nominal,-0.132438,-0.155974,-0.000590
108,6480,0,normal_a,0,1701856,1595840,106016.50,-12719.9500,2870.5875,Nominal,0.212033,-0.063600,0.001435
109,6540,0,normal_a,0,1663355,1595840,67515.50,-7683.7250,-641.6833,Nominal,0.135031,-0.038419,-0.000321
110,6600,0,normal_a,0,1393716,1595840,-202123.50,-19476.7750,-4493.9833,Nominal,-0.404247,-0.097384,-0.002247
111,6660,0,normal_a,0,1568207,1595840,-27632.50,-17824.2250,2908.1833,Nominal,-0.055265,-0.089121,0.001454
112,6720,0,normal_a,0,1634082,1595840,38243.00,-20759.9750,1097.9250,Nominal,0.076486,-0.103800,0.000549
113,6780,0,normal_a,0,1574920,1595840,-20919.00,-24490.2500,-986.0333,Nominal,-0.041838,-0.122451,-0.000493
114,6840,0,normal_a,0,1615010,1598922,16088.00,-8292.9000,616.7833,Nominal,0.032176,-0.041465,0.000308
115,6900,0,normal_a,0,1444805,1598922,-154116.50,-23855.2750,-2836.7417,Nominal,-0.308233,-0.119276,-0.001418
116,6960,0,normal_a,0,1632486,1598922,33564.00,-20958.3250,3128.0083,Nominal,0.067128,-0.104792,0.001564
117,7020,0,normal_a,0,1556038,1595840,-39801.00,-18316.5500,-1222.7500,Nominal,-0.079602,-0.091583,-0.000611
118,7080,0,normal_a,0,1648868,1598922,49947.00,-23923.5000,1495.8000,Nominal,0.099894,-0.119618,0.000748
119,7140,0,normal_a,0,1548082,1595840,-47757.00,-35450.7500,-1628.4000,Nominal,-0.095514,-0.177254,-0.000814
120,7200,0,normal_a,0,1692006,1598922,93085.00,-5929.9000,2347.3667,Nominal,0.186170,-0.029649,0.001174
121,7260,0,normal_a,0,1444924,1597352,-152428.50,-18409.5000,-4091.8917,Nominal,-0.304857,-0.092048,-0.002046
122,7320,0,normal_a,0,1665826,1597352,68474.00,-15386.4000,3681.7083,Nominal,0.136948,-0.076932,0.001841
123,7380,0,normal_a,0,1675130,1597352,77777.50,-5516.7500,155.0583,Nominal,0.155555,-0.027584,0.000078
124,7440,0,normal_a,0,1571572,1597352,-25780.00,-9703.5500,-1725.9583,Nominal,-0.051560,-0.048518,-0.000863
125,7500,0,normal_a,0,1453696,1584595,-130899.75,-7381.8750,-1751.9958,Nominal,-0.261800,-0.036909,-0.000876
126,7560,0,normal_a,0,1609584,1597352,12232.00,-9515.0750,2385.5292,Nominal,0.024464,-0.047575,0.001193
127,7620,0,normal_a,0,1739560,1597352,142208.00,8685.8250,2166.2667,Nominal,0.284416,0.043429,0.001083
128,7680,0,normal_a,0,1567430,1597352,-29921.50,698.9750,-2868.8250,Nominal,-0.059843,0.003495,-0.001434
129,7740,0,normal_a,0,1495446,1584595,-89148.75,-3440.2000,-987.1208,Nominal,-0.178297,-0.017201,-0.000494
130,7800,0,normal_a,0,1427660,1584595,-156935.75,-28442.2750,-1129.7833,Nominal,-0.313872,-0.142211,-0.000565
131,7860,0,normal_a,0,1559926,1584595,-24669.25,-15666.3500,2204.4417,Nominal,-0.049339,-0.078332,0.001102
132,7920,0,normal_a,0,1491196,1573246,-82050.75,-30718.8250,-956.3583,Nominal,-0.164102,-0.153594,-0.000478
133,7980,0,normal_a,0,1725004,1573246,151757.75,-23320.8000,3896.8083,Nominal,0.303515,-0.116604,0.001948
134,8040,0,normal_a,0,1418819,1573246,-154427.25,-36185.5250,-5103.0833,Nominal,-0.308854,-0.180928,-0.002552
135,8100,0,normal_a,0,1560124,1569890,-9765.50,-24072.1000,2411.0292,Nominal,-0.019531,-0.120360,0.001206
136,8160,0,normal_a,0,1526926,1567819,-40893.25,-29384.6250,-518.7958,Nominal,-0.081786,-0.146923,-0.000259
137,8220,0,normal_a,0,1557032,1567819,-10786.25,-44684.0500,501.7833,Nominal,-0.021573,-0.223420,0.000251
138,8280,0,normal_a,0,1655136,1567819,87316.75,-32960.2250,1635.0500,Nominal,0.174633,-0.164801,0.000818
139,8340,0,normal_a,0,1537765,1563777,-26012.25,-26646.5750,-1888.8167,Nominal,-0.052025,-0.133233,-0.000944
140,8400,0,normal_a,0,1553344,1563777,-10433.75,-11996.3750,259.6417,Nominal,-0.020868,-0.059982,0.000130
141,8460,0,normal_a,0,1580252,1563777,16475.25,-7881.9250,448.4833,Nominal,0.032951,-0.039410,0.000224
142,8520,0,normal_a,0,1406811,1560025,-153214.00,-14998.2500,-2828.1542,Nominal,-0.306428,-0.074991,-0.001414
143,8580,0,normal_a,0,1755280,1560025,195255.00,-10648.5250,5807.8167,Nominal,0.390510,-0.053243,0.002904
144,8640,0,normal_a,0,1491108,1558479,-67371.25,-1942.9250,-4377.1042,Nominal,-0.134742,-0.009715,-0.002189
145,8700,0,normal_a,0,1584762,1560025,24736.50,1507.2750,1535.1292,Nominal,0.049473,0.007536,0.000768
146,8760,0,normal_a,0,1615986,1560025,55961.50,11192.7500,520.4167,Nominal,0.111923,0.055964,0.000260
147,8820,0,normal_a,0,1404903,1560025,-155122.00,-3240.8250,-3518.0583,Nominal,-0.310244,-0.016204,-0.001759
148,8880,0,normal_a,0,1574238,1560025,14213.00,-10551.2000,2822.2500,Nominal,0.028426,-0.052756,0.001411
149,8940,0,normal_a,0,1595746,1563777,31968.25,-4753.1500,295.9208,Nominal,0.063936,-0.023766,0.000148
150,9000,0,normal_a,0,1498940,1560025,-61085.00,-9818.2750,-1550.8875,Nominal,-0.122170,-0.049091,-0.000775
151,9060,0,normal_a,0,1519784,1560025,-40241.50,-15489.9500,347.3917,Nominal,-0.080483,-0.077450,0.000174
152,9120,0,normal_a,0,1595570,1560025,35545.00,3385.9500,1263.1083,Nominal,0.071090,0.016930,0.000632
153,9180,0,normal_a,0,1582267,1560025,22242.00,-13915.3500,-221.7167,Nominal,0.044484,-0.069577,-0.000111
154,9240,0,normal_a,0,1601270,1560025,41244.50,-3053.7750,316.7083,Nominal,0.082489,-0.015269,0.000158
155,9300,0,normal_a,0,1417042,1560025,-142983.50,-19825.7750,-3070.4667,Nominal,-0.285967,-0.099129,-0.001535
156,9360,0,normal_a,0,1785285,1560025,225260.00,-2895.9250,6137.3917,Nominal,0.450520,-0.014480,0.003069
157,9420,0,normal_a,0,1364984,1558479,-193495.75,-6733.3000,-6979.2625,Nominal,-0.386991,-0.033667,-0.003490
158,9480,0,normal_a,0,1638290,1558479,79810.25,-173.5750,4555.1000,Nominal,0.159620,-0.000868,0.002278
159,9540,0,normal_a,0,1517192,1558479,-41287.75,-7499.1750,-2018.3000,Nominal,-0.082575,-0.037496,-0.001009
160,9600,0,normal_a,0,1623509,1560025,63484.00,4957.7250,1746.1958,Nominal,0.126968,0.024789,0.000873
161,9660,0,normal_a,0,1550246,1558578,-8332.75,8148.6000,-1196.9458,Nominal,-0.016665,0.040743,-0.000598
162,9720,0,normal_a,0,1638181,1567181,71000.00,11694.1000,1322.2125,Nominal,0.142000,0.058471,0.000661
163,9780,0,normal_a,0,1541004,1558578,-17574.25,7712.4750,-1476.2375,Nominal,-0.035148,0.038562,-0.000738
164,9840,0,normal_a,0,1648176,1567181,80995.00,11687.5250,1642.8208,Nominal,0.161990,0.058438,0.000821
165,9900,0,normal_a,0,1649261,1577245,72015.75,33187.4500,-149.6542,Nominal,0.144032,0.165937,-0.000075
166,9960,0,normal_a,0,1527881,1577245,-49364.25,5725.0250,-2023.0000,Nominal,-0.098728,0.028625,-0.001012
167,10020,0,normal_a,0,1614178,1581260,32917.75,28366.3750,1371.3667,Nominal,0.065836,0.141832,0.000686
168,10080,0,normal_a,0,1408781,1577245,-168464.25,3538.9250,-3356.3667,Nominal,-0.336929,0.017695,-0.001678
169,10140,0,normal_a,0,1670134,1581260,88873.75,16555.0750,4288.9667,Nominal,0.177748,0.082775,0.002144
170,10200,0,normal_a,0,1563778,1581260,-17481.75,8458.5000,-1772.5917,Nominal,-0.034964,0.042292,-0.000886
171,10260,0,normal_a,0,1716104,1583514,132589.75,22550.7500,2501.1917,Nominal,0.265180,0.112754,0.001251
172,10320,0,normal_a,0,1792821,1590166,202655.25,35716.2750,1167.7583,Nominal,0.405311,0.178581,0.000584
173,10380,0,normal_a,0,1460274,1583514,-123239.75,25149.7250,-5431.5833,Nominal,-0.246479,0.125749,-0.002716
174,10440,0,normal_a,0,1682312,1590166,92146.75,26264.9000,3589.7750,Nominal,0.184293,0.131325,0.001795
175,10500,0,normal_a,0,1609352,1595658,13694.75,20432.8000,-1307.5333,Nominal,0.027390,0.102164,-0.000654
176,10560,0,normal_a,0,1434242,1588918,-154676.50,9901.5750,-2806.1875,Nominal,-0.309353,0.049508,-0.001403
177,10620,0,normal_a,0,1550764,1588918,-38155.00,2794.3000,1942.0250,Nominal,-0.076310,0.013972,0.000971
178,10680,0,normal_a,0,1595712,1595641,71.00,19647.8250,637.1000,Nominal,0.000142,0.098239,0.000319
179,10740,0,normal_a,0,1560848,1588918,-28071.00,7953.3500,-469.0333,Nominal,-0.056142,0.039767,-0.000235
180,10800,0,normal_a,0,1711018,1595641,115376.50,21239.1750,2390.7917,Nominal,0.230753,0.106196,0.001195
181,10860,0,normal_a,0,1471531,1595641,-124110.00,-4430.8000,-3991.4417,Nominal,-0.248220,-0.022154,-0.001996
182,10920,0,normal_a,0,1576234,1588990,-12756.00,-25971.9250,1855.9000,Nominal,-0.025512,-0.129860,0.000928
183,10980,0,normal_a,0,1495510,1585973,-90462.25,-22694.1750,-1295.1042,Nominal,-0.180924,-0.113471,-0.000648
184,11040,0,normal_a,0,1571347,1573790,-2443.25,-32153.1750,1466.9833,Nominal,-0.004887,-0.160766,0.000733
185,11100,0,normal_a,0,1626134,1585973,40161.25,-29506.5250,710.0750,Nominal,0.080323,-0.147533,0.000355
186,11160,0,normal_a,0,1664506,1585973,78533.75,-6185.5000,639.5417,Nominal,0.157067,-0.030928,0.000320
187,11220,0,normal_a,0,1554048,1585973,-31924.25,-5562.4250,-1840.9667,Nominal,-0.063849,-0.027812,-0.000920
188,11280,0,normal_a,0,1783300,1585973,197326.75,14163.1500,3820.8500,Nominal,0.394653,0.070816,0.001910
189,11340,0,normal_a,0,1587279,1591496,-4216.50,16548.6000,-3359.0542,Nominal,-0.008433,0.082743,-0.001680
190,11400,0,normal_a,0,1550098,1581756,-31658.25,1845.1250,-457.3625,Nominal,-0.063316,0.009226,-0.000229
191,11460,0,normal_a,0,1582317,1584798,-2481.00,14008.0250,486.2875,Nominal,-0.004962,0.070040,0.000243
192,11520,0,normal_a,0,1473398,1579275,-105877.25,4695.9000,-1723.2708,Nominal,-0.211755,0.023479,-0.000862
193,11580,0,normal_a,0,1481596,1579275,-97678.75,3974.2500,136.6417,Nominal,-0.195357,0.019871,0.000068
194,11640,0,normal_a,0,1612640,1579275,33365.25,7555.1000,2184.0667,Nominal,0.066730,0.037776,0.001092
195,11700,0,normal_a,0,1750548,1579275,171272.25,20666.2000,2298.4500,Nominal,0.342544,0.103331,0.001149
196,11760,0,normal_a,0,1423030,1579275,-156245.25,-2811.7000,-5458.6250,Nominal,-0.312491,-0.014058,-0.002729
197,11820,0,normal_a,0,1557704,1573790,-16086.25,-1227.9000,2335.9833,Nominal,-0.032172,-0.006140,0.001168
198,11880,0,normal_a,0,1566332,1573790,-7457.75,-21706.3500,143.8083,Nominal,-0.014915,-0.108532,0.000072
199,11940,0,normal_a,0,1773403,1573790,199612.75,-1323.4250,3451.1750,Nominal,0.399226,-0.006617,0.001726
200,12000,0,normal_a,0,1468642,1573790,-105148.25,-8672.4250,-5079.3500,Nominal,-0.210296,-0.043362,-0.002540
201,12060,0,normal_a,0,1581284,1573790,7494.25,-7674.9000,1877.3750,Nominal,0.014989,-0.038374,0.000939
202,12120,0,normal_a,0,1518188,1568840,-50651.75,-2152.3500,-969.1000,Nominal,-0.101304,-0.010762,-0.000485
203,12180,0,normal_a,0,1645147,1573790,71356.75,14751.2000,2033.4750,Nominal,0.142713,0.073756,0.001017
204,12240,0,normal_a,0,1715882,1573790,142092.25,25623.9000,1178.9250,Nominal,0.284185,0.128119,0.000589
205,12300,0,normal_a,0,1430372,1568840,-138467.75,-5350.1000,-4676.0000,Nominal,-0.276936,-0.026751,-0.002338
206,12360,0,normal_a,0,1465567,1568840,-103272.75,-52.8500,586.5833,Nominal,-0.206545,-0.000264,0.000293
207,12420,0,normal_a,0,1648106,1573790,74316.25,8987.4000,2959.8167,Nominal,0.148633,0.044937,0.001480
208,12480,0,normal_a,0,1467672,1568840,-101167.25,-383.5500,-2924.7250,Nominal,-0.202335,-0.001918,-0.001462
209,12540,0,normal_a,0,1633964,1573790,60173.25,-14327.5000,2689.0083,Nominal,0.120346,-0.071638,0.001345
210,12600,0,normal_a,0,1655738,1573790,81948.25,4382.1500,362.9167,Nominal,0.163897,0.021911,0.000181
211,12660,0,normal_a,0,1626940,1578759,48181.00,8450.8250,-562.7875,Nominal,0.096362,0.042254,-0.000281
212,12720,0,normal_a,0,1306046,1576316,-270270.25,-13511.0250,-5307.5208,Nominal,-0.540540,-0.067555,-0.002654
213,12780,0,normal_a,0,1542240,1576316,-34076.25,-24054.3250,3936.5667,Nominal,-0.068153,-0.120272,0.001968
214,12840,0,normal_a,0,1723704,1581801,141903.75,-24073.1750,2933.0000,Nominal,0.283807,-0.120366,0.001466
215,12900,0,normal_a,0,1357133,1573808,-216675.50,-31893.9500,-5976.3208,Nominal,-0.433351,-0.159470,-0.002988
216,12960,0,normal_a,0,1540724,1562018,-21294.25,-23696.1000,3256.3542,Nominal,-0.042589,-0.118480,0.001628
217,13020,0,normal_a,0,1543532,1562018,-18486.25,-32976.3500,46.8000,Nominal,-0.036972,-0.164882,0.000023
218,13080,0,normal_a,0,1565520,1561612,3908.25,-22468.8000,373.2417,Nominal,0.007817,-0.112344,0.000187
219,13140,0,normal_a,0,1627560,1561612,65947.75,-21891.3500,1033.9917,Nominal,0.131895,-0.109457,0.000517
220,13200,0,normal_a,0,1618480,1565926,52553.50,-24830.8250,-223.2375,Nominal,0.105107,-0.124154,-0.000112
221,13260,0,normal_a,0,1440308,1561612,-121303.75,-41779.3000,-2897.6208,Nominal,-0.242608,-0.208897,-0.001449
222,13320,0,normal_a,0,1593858,1565926,27931.50,-11959.1250,2487.2542,Nominal,0.055863,-0.059796,0.001244
223,13380,0,normal_a,0,1656232,1573808,82424.00,-309.1000,908.2083,Nominal,0.164848,-0.001546,0.000454
224,13440,0,normal_a,0,1520813,1565926,-45113.50,-19010.8250,-2125.6250,Nominal,-0.090227,-0.095054,-0.001063
