step_idx,step_in_unit,esp_id,label,rms_broadband,baseline_rms,peak1x,peak2x,residual,drift,slew,token,r_norm,delta_norm,sigma_norm
49,49,0,Normal,0.251224,0.169938,0.150580,0.006370,0.081286,0.007357,0.006782,Nominal,0.812863,0.147140,0.022605
50,50,0,Normal,0.119467,0.156175,0.075360,0.008100,-0.036708,0.018061,-0.117994,Nominal,-0.367079,0.361215,-0.393314
51,51,0,Normal,0.095407,0.156175,0.061400,0.002830,-0.060767,0.015602,-0.024059,Nominal,-0.607673,0.312045,-0.080198
52,52,0,Normal,0.168799,0.156175,0.097320,0.027410,0.012624,0.026820,0.073392,Nominal,0.126242,0.536391,0.244638
53,53,0,Normal,0.067679,0.156175,0.042950,0.011470,-0.088495,0.024878,-0.101120,Nominal,-0.884955,0.497565,-0.337066
54,54,0,Normal,0.133473,0.133473,0.090040,0.006480,0.000000,0.017738,0.088495,Nominal,0.000000,0.354765,0.294985
55,55,0,Normal,0.240190,0.156175,0.154260,0.007530,0.084016,0.023621,0.084016,Nominal,0.840156,0.472426,0.280052
56,56,0,Normal,0.051858,0.156175,0.026010,0.008140,-0.104317,0.007037,-0.188332,EnvViolation,-1.043167,0.140742,-0.627774
57,57,0,Normal,0.080368,0.156175,0.049420,0.004130,-0.075807,-0.011366,0.028510,Recovery,-0.758066,-0.227326,0.095034
58,58,0,Normal,0.249433,0.168799,0.142100,0.021520,0.080634,-0.010753,0.156440,Nominal,0.806338,-0.215068,0.521468
59,59,0,Normal,0.159024,0.159024,0.091670,0.011030,0.000000,-0.018882,-0.080634,Nominal,0.000000,-0.377641,-0.268779
60,60,0,Normal,0.053098,0.159024,0.032640,0.003920,-0.105926,-0.025804,-0.105926,EnvViolation,-1.059256,-0.516076,-0.353085
61,61,0,Unbalance,0.639339,0.159024,0.368100,0.019100,0.480315,0.028304,0.586241,EnvViolation,4.803152,0.566089,1.954136
62,62,0,Normal,0.112755,0.133473,0.071740,0.006040,-0.020718,0.024970,-0.501033,SlewSpike,-0.207182,0.499404,-1.670111
63,63,0,Normal,0.061852,0.119467,0.038760,0.008510,-0.057615,0.028058,-0.036897,Recovery,-0.576150,0.561165,-0.122989
64,64,0,Normal,0.186053,0.119467,0.117800,0.014010,0.066586,0.034717,0.124201,Nominal,0.665863,0.694337,0.414004
65,65,0,Unbalance,0.337145,0.133473,0.210620,0.007090,0.203672,0.046683,0.137086,EnvViolation,2.036720,0.933650,0.456953
66,66,0,Normal,0.122320,0.133473,0.070170,0.003070,-0.011153,0.055999,-0.214825,DriftAccum,-0.111529,1.119978,-0.716083
67,67,0,Normal,0.116802,0.122320,0.067750,0.008750,-0.005519,0.063028,0.005634,DriftAccum,-0.055186,1.260554,0.018781
68,68,0,Normal,0.218408,0.133473,0.130380,0.003740,0.084935,0.063458,0.090453,DriftAccum,0.849346,1.269156,0.301511
69,69,0,Normal,0.084480,0.122320,0.048250,0.005120,-0.037840,0.059674,-0.122775,DriftAccum,-0.378400,1.193476,-0.409249
70,70,0,Normal,0.160579,0.122320,0.099510,0.011380,0.038259,0.074092,0.076099,DriftAccum,0.382588,1.481845,0.253662
71,71,0,Normal,0.214123,0.159024,0.131860,0.006780,0.055099,0.031571,0.016840,Recovery,0.550988,0.631412,0.056134
72,72,0,Normal,0.225491,0.160579,0.130770,0.008630,0.064913,0.040134,0.009814,Nominal,0.649125,0.802673,0.032712
73,73,0,Normal,0.072665,0.159024,0.043010,0.005780,-0.086359,0.037259,-0.151272,Nominal,-0.863594,0.745184,-0.504240
74,74,0,Normal,0.131287,0.131287,0.085490,0.007480,0.000000,0.030601,0.086359,Nominal,0.000000,0.612012,0.287865
75,75,0,Normal,0.051021,0.131287,0.031680,0.008520,-0.080266,0.002207,-0.080266,Nominal,-0.802664,0.044135,-0.267555
76,76,0,Normal,0.091799,0.122320,0.054920,0.015820,-0.030521,0.000270,0.049745,Nominal,-0.305215,0.005398,0.165816
77,77,0,Normal,0.145895,0.131287,0.094600,0.006580,0.014607,0.002282,0.045129,Nominal,0.146073,0.045649,0.150429
78,78,0,Normal,0.012988,0.131287,0.008520,0.002040,-0.118299,-0.018041,-0.132906,EnvViolation,-1.182990,-0.360818,-0.443021
79,79,0,Normal,0.061924,0.122320,0.036580,0.007680,-0.060396,-0.020296,0.057903,Recovery,-0.603960,-0.405930,0.193010
80,80,0,Normal,0.174446,0.122320,0.099260,0.004530,0.052126,-0.018910,0.112522,Nominal,0.521256,-0.378196,0.375072
81,81,0,Normal,0.099063,0.116802,0.066770,0.002460,-0.017738,-0.026193,-0.069864,Nominal,-0.177381,-0.523870,-0.232879
82,82,0,Normal,0.125620,0.125620,0.071710,0.001080,0.000000,-0.032685,0.017738,Nominal,0.000000,-0.653695,0.059127
83,83,0,Normal,0.179116,0.125620,0.115130,0.002410,0.053496,-0.018699,0.053496,Nominal,0.534963,-0.373983,0.178321
84,84,0,Normal,0.162190,0.131287,0.109300,0.009120,0.030903,-0.015609,-0.022593,Nominal,0.309029,-0.312178,-0.075311
85,85,0,Normal,0.037886,0.125620,0.021500,0.018790,-0.087734,-0.016356,-0.118637,Nominal,-0.877340,-0.327113,-0.395457
86,86,0,Normal,0.027468,0.099063,0.018390,0.005730,-0.071596,-0.020463,0.016138,Nominal,-0.715957,-0.409261,0.053794
87,87,0,Normal,0.118324,0.099063,0.075680,0.007880,0.019261,-0.019998,0.090857,Nominal,0.192609,-0.399954,0.302855
88,88,0,Normal,0.163070,0.118324,0.103500,0.001490,0.044745,-0.003693,0.025484,Nominal,0.447452,-0.073866,0.084948
89,89,0,Unbalance,0.386258,0.118324,0.241030,0.006500,0.267934,0.029140,0.223189,EnvViolation,2.679340,0.582794,0.743963
90,90,0,Unbalance,0.403040,0.125620,0.240590,0.006740,0.277420,0.051669,0.009486,EnvViolation,2.774202,1.033384,0.031621
91,91,0,Normal,0.173896,0.145895,0.103890,0.003230,0.028001,0.056243,-0.249419,DriftAccum,0.280015,1.124863,-0.831396
92,92,0,Normal,0.058900,0.125620,0.039550,0.017050,-0.066719,0.049571,-0.094721,BoundaryGrazing,-0.667194,0.991424,-0.315736
93,93,0,Normal,0.199818,0.162190,0.124550,0.021690,0.037627,0.047984,0.104347,BoundaryGrazing,0.376274,0.959686,0.347823
94,94,0,Normal,0.050267,0.162190,0.027170,0.003880,-0.111923,0.033702,-0.149550,EnvViolation,-1.119229,0.674034,-0.498501
95,95,0,Normal,0.258734,0.162190,0.154230,0.012750,0.096544,0.052129,0.208466,DriftAccum,0.965436,1.042590,0.694888
96,96,0,Unbalance,0.296374,0.163070,0.193110,0.009580,0.133304,0.072619,0.036760,EnvViolation,1.333041,1.452389,0.122535
97,97,0,Normal,0.247687,0.173896,0.161490,0.008290,0.073791,0.078072,-0.059513,DriftAccum,0.737906,1.561449,-0.198378
98,98,0,Normal,0.251592,0.173896,0.150500,0.009210,0.077696,0.081368,0.003905,DriftAccum,0.776960,1.627350,0.013018
99,99,0,Normal,0.097478,0.173896,0.061900,0.008920,-0.076418,0.046932,-0.154114,BoundaryGrazing,-0.764182,0.938645,-0.513714
100,100,0,Normal,0.240540,0.199818,0.162160,0.005640,0.040722,0.023262,0.117140,Recovery,0.407219,0.465249,0.390467
101,101,0,Normal,0.089521,0.199818,0.051100,0.002600,-0.110296,0.009433,-0.151018,EnvViolation,-1.102963,0.188653,-0.503394
102,102,0,Unbalance,0.269129,0.240540,0.166800,0.005750,0.028589,0.018964,0.138886,Recovery,0.285895,0.379271,0.462952
103,103,0,Normal,0.249365,0.247687,0.144410,0.006380,0.001679,0.015369,-0.026911,Nominal,0.016786,0.307374,-0.089703
104,104,0,Normal,0.168112,0.240540,0.107780,0.003550,-0.072427,0.019318,-0.074106,Nominal,-0.724272,0.386365,-0.247019
105,105,0,Unbalance,0.362542,0.240540,0.244360,0.005180,0.122003,0.021864,0.194430,EnvViolation,1.220026,0.437283,0.648099
106,106,0,Normal,0.169913,0.240540,0.098630,0.008130,-0.070627,0.001471,-0.192630,Recovery,-0.706270,0.029421,-0.642099
107,107,0,Normal,0.066071,0.240540,0.038200,0.002760,-0.174468,-0.023355,-0.103841,EnvViolation,-1.744682,-0.467097,-0.346138
108,108,0,Normal,0.145061,0.240540,0.083650,0.025270,-0.095478,-0.040672,0.078990,BoundaryGrazing,-0.954785,-0.813446,0.263299
109,109,0,Normal,0.153426,0.240540,0.091700,0.010920,-0.087113,-0.041742,0.008365,Recovery,-0.871133,-0.834836,0.027884
110,110,0,Normal,0.122205,0.169913,0.069790,0.014350,-0.047707,-0.050585,0.039406,DriftAccum,-0.477072,-1.011694,0.131354
111,111,0,Normal,0.122411,0.168112,0.070830,0.003070,-0.045702,-0.044125,0.002005,Recovery,-0.457019,-0.882505,0.006684
112,112,0,Normal,0.107840,0.153426,0.068980,0.016490,-0.045587,-0.051543,0.000115,DriftAccum,-0.455866,-1.030857,0.000384
113,113,0,Normal,0.142211,0.145061,0.082360,0.004490,-0.002850,-0.051996,0.042736,DriftAccum,-0.028503,-1.039915,0.142454
114,114,0,Normal,0.142660,0.145061,0.082370,0.002360,-0.002401,-0.044993,0.000449,Recovery,-0.024011,-0.899863,0.001497
115,115,0,Normal,0.079167,0.142660,0.050160,0.006250,-0.063493,-0.063543,-0.061092,DriftAccum,-0.634930,-1.270854,-0.203639
116,116,0,Unbalance,0.290102,0.145061,0.167310,0.038700,0.145041,-0.041976,0.208534,EnvViolation,1.450408,-0.839519,0.695113
117,117,0,Normal,0.124490,0.142660,0.075960,0.002430,-0.018170,-0.026346,-0.163211,Recovery,-0.181699,-0.526922,-0.544035
118,118,0,Normal,0.105849,0.142211,0.062890,0.003690,-0.036361,-0.020434,-0.018191,Nominal,-0.363613,-0.408688,-0.060638
119,119,0,Normal,0.211771,0.142211,0.121570,0.019000,0.069561,-0.004767,0.105922,Nominal,0.695606,-0.095340,0.353073
120,120,0,Unbalance,0.355368,0.142211,0.229610,0.005300,0.213157,0.021319,0.143596,EnvViolation,2.131570,0.426389,0.478654
121,121,0,Normal,0.170332,0.142211,0.114370,0.003110,0.028122,0.028702,-0.185035,Recovery,0.281216,0.574036,-0.616785
122,122,0,Normal,0.080225,0.142211,0.046200,0.006290,-0.061986,0.027062,-0.090107,Nominal,-0.619857,0.541237,-0.300358
123,123,0,Normal,0.074325,0.124490,0.044380,0.002480,-0.050165,0.022330,0.011820,Nominal,-0.501653,0.446607,0.039401
124,124,0,Normal,0.158808,0.124490,0.095280,0.011100,0.034318,0.026002,0.084483,Nominal,0.343181,0.520046,0.281611
125,125,0,Normal,0.139762,0.139762,0.093950,0.010330,0.000000,0.032352,-0.034318,Nominal,0.000000,0.647032,-0.114394
126,126,0,Normal,0.263931,0.142211,0.164950,0.020570,0.121720,0.030019,0.121720,EnvViolation,1.217197,0.600390,0.405732
127,127,0,Unbalance,0.268189,0.142660,0.180670,0.013290,0.125529,0.044389,0.003810,EnvViolation,1.255293,0.887788,0.012698
128,128,0,Unbalance,0.440968,0.158808,0.255770,0.015170,0.282160,0.076241,0.156630,EnvViolation,2.821597,1.524830,0.522102
129,129,0,Normal,0.258035,0.170332,0.154040,0.018910,0.087703,0.078056,-0.194457,DriftAccum,0.877031,1.561115,-0.648189
130,130,0,Unbalance,0.423737,0.211771,0.254330,0.016480,0.211966,0.077937,0.124263,EnvViolation,2.119657,1.558732,0.414209
131,131,0,Normal,0.235857,0.211771,0.134320,0.022650,0.024085,0.077533,-0.187881,DriftAccum,0.240851,1.550659,-0.626268
132,132,0,Normal,0.064523,0.211771,0.040300,0.013290,-0.147248,0.069007,-0.171333,EnvViolation,-1.472480,1.380135,-0.571110
133,133,0,Normal,0.184736,0.211771,0.106080,0.006150,-0.027035,0.071320,0.120213,DriftAccum,-0.270354,1.426395,0.400709
134,134,0,Unbalance,0.522623,0.235857,0.312160,0.024340,0.286767,0.096565,0.313802,Compound,2.867669,1.931292,1.046007
135,135,0,Normal,0.177564,0.184736,0.115620,0.003380,-0.007172,0.095847,-0.293939,DriftAccum,-0.071719,1.916948,-0.979796
136,136,0,Normal,0.157707,0.184736,0.094550,0.007770,-0.027029,0.080973,-0.019857,DriftAccum,-0.270286,1.619452,-0.066189
137,137,0,Normal,0.157021,0.184736,0.093470,0.009930,-0.027715,0.065648,-0.000687,DriftAccum,-0.277154,1.312962,-0.002289
138,138,0,Normal,0.165131,0.184736,0.093980,0.014580,-0.019606,0.035472,0.008110,Recovery,-0.196055,0.709432,0.027033
139,139,0,Normal,0.163139,0.184736,0.105930,0.005750,-0.021597,0.024542,-0.001991,Nominal,-0.215968,0.490832,-0.006638
140,140,0,Normal,0.100118,0.184736,0.056880,0.023950,-0.084618,-0.005117,-0.063022,Nominal,-0.846184,-0.102336,-0.210072
141,141,0,Normal,0.186724,0.184736,0.106470,0.005190,0.001988,-0.007327,0.086606,Nominal,0.019878,-0.146531,0.288687
142,142,0,Normal,0.126189,0.177564,0.080150,0.010880,-0.051375,0.002261,-0.053362,Nominal,-0.513747,0.045216,-0.177875
143,143,0,Unbalance,0.304487,0.177564,0.173840,0.012040,0.126923,0.017657,0.178298,EnvViolation,1.269229,0.353133,0.594325
144,144,0,Normal,0.131680,0.165131,0.088660,0.004850,-0.033450,-0.014365,-0.160373,Recovery,-0.334504,-0.287302,-0.534578
145,145,0,Normal,0.148179,0.163139,0.085340,0.021810,-0.014960,-0.015144,0.018491,Nominal,-0.149597,-0.302878,0.061636
146,146,0,Normal,0.166906,0.163139,0.099390,0.009160,0.003767,-0.012064,0.018726,Nominal,0.037666,-0.241287,0.062421
147,147,0,Normal,0.120098,0.163139,0.076350,0.008030,-0.043042,-0.013597,-0.046808,Nominal,-0.430417,-0.271940,-0.156028
148,148,0,Normal,0.160690,0.160690,0.091690,0.015010,0.000000,-0.011636,0.043042,Nominal,0.000000,-0.232729,0.143472
149,149,0,Normal,0.218040,0.160690,0.124180,0.006280,0.057350,-0.003742,0.057350,Nominal,0.573496,-0.074836,0.191165
150,150,0,Normal,0.116763,0.157707,0.071670,0.006070,-0.040944,0.000626,-0.098294,Nominal,-0.409445,0.012512,-0.327647
151,151,0,Normal,0.208740,0.160690,0.130590,0.013710,0.048050,0.005232,0.088994,Nominal,0.480498,0.104636,0.296647
152,152,0,Normal,0.250244,0.163139,0.159390,0.012880,0.087105,0.019080,0.039055,Nominal,0.871050,0.381595,0.130184
153,153,0,Unbalance,0.323109,0.163139,0.208450,0.008330,0.159970,0.022384,0.072865,EnvViolation,1.599695,0.447688,0.242882
154,154,0,Normal,0.154149,0.160690,0.088790,0.010310,-0.006541,0.025075,-0.166511,Recovery,-0.065414,0.501506,-0.555036
155,155,0,Normal,0.176858,0.166906,0.106040,0.005210,0.009952,0.027567,0.016494,Nominal,0.099523,0.551330,0.054979
156,156,0,Normal,0.128464,0.160690,0.076820,0.011500,-0.032227,0.023967,-0.042179,Nominal,-0.322267,0.479344,-0.140597
157,157,0,Normal,0.068389,0.160690,0.040880,0.004960,-0.092301,0.019041,-0.060074,BoundaryGrazing,-0.923011,0.380825,-0.200248
158,158,0,Normal,0.090587,0.154149,0.054120,0.012480,-0.063562,0.012685,0.028739,Recovery,-0.635622,0.253701,0.095796
159,159,0,Unbalance,0.274901,0.160690,0.185320,0.013070,0.114211,0.018371,0.177773,EnvViolation,1.142111,0.367424,0.592578
160,160,0,Normal,0.202135,0.166906,0.136280,0.012760,0.035229,0.025989,-0.078982,Recovery,0.352290,0.519771,-0.263274
161,161,0,Normal,0.068353,0.160690,0.039320,0.003430,-0.092337,0.011950,-0.127566,BoundaryGrazing,-0.923370,0.238997,-0.425220
162,162,0,Unbalance,0.338406,0.176858,0.208960,0.006950,0.161548,0.019394,0.253885,EnvViolation,1.615479,0.387883,0.846283
163,163,0,Normal,0.138130,0.176858,0.083060,0.002330,-0.038729,-0.000476,-0.200276,Recovery,-0.387285,-0.009513,-0.667588
164,164,0,Normal,0.137162,0.154149,0.084710,0.004080,-0.016987,-0.001520,0.021742,Nominal,-0.169869,-0.030404,0.072472
165,165,0,Normal,0.091623,0.154149,0.057260,0.019230,-0.062526,-0.008768,-0.045539,Nominal,-0.625257,-0.175360,-0.151796
166,166,0,Normal,0.094639,0.138130,0.060300,0.019600,-0.043490,-0.009894,0.019035,Nominal,-0.434903,-0.197887,0.063451
167,167,0,Unbalance,0.341657,0.138130,0.217440,0.006400,0.203527,0.019688,0.247018,EnvViolation,2.035274,0.393769,0.823392
168,168,0,Normal,0.158962,0.138130,0.091080,0.014650,0.020832,0.028128,-0.182695,Recovery,0.208320,0.562558,-0.608985
169,169,0,Normal,0.092627,0.137162,0.057050,0.002870,-0.044535,0.012253,-0.065367,Nominal,-0.445352,0.245065,-0.217891
170,170,0,Normal,0.191794,0.137162,0.119940,0.005860,0.054632,0.014194,0.099167,Nominal,0.546323,0.283872,0.330558
171,171,0,Normal,0.116387,0.137162,0.067120,0.009590,-0.020775,0.021350,-0.075407,Nominal,-0.207746,0.426997,-0.251356
172,172,0,Unbalance,0.363168,0.138130,0.206940,0.019750,0.225038,0.027699,0.245813,EnvViolation,2.250381,0.553977,0.819376
173,173,0,Unbalance,0.335441,0.158962,0.195080,0.013440,0.176479,0.049220,-0.048559,EnvViolation,1.764793,0.984393,-0.161863
174,174,0,Normal,0.118425,0.138130,0.067340,0.015940,-0.019705,0.048948,-0.196184,BoundaryGrazing,-0.197049,0.978957,-0.653947
175,175,0,Normal,0.045358,0.137162,0.025410,0.013400,-0.091804,0.046020,-0.072099,BoundaryGrazing,-0.918035,0.920401,-0.240329
176,176,0,Unbalance,0.302866,0.138130,0.192530,0.010210,0.164736,0.066843,0.256539,EnvViolation,1.647360,1.336854,0.855132
177,177,0,Normal,0.172507,0.138130,0.099530,0.005280,0.034377,0.049928,-0.130359,BoundaryGrazing,0.343770,0.998553,-0.434530
178,178,0,Normal,0.208713,0.158962,0.121110,0.017140,0.049752,0.052820,0.015375,DriftAccum,0.497518,1.056393,0.051249
179,179,0,Normal,0.255475,0.172507,0.158270,0.008460,0.082968,0.065570,0.033216,DriftAccum,0.829680,1.311399,0.110721
180,180,0,Unbalance,0.546884,0.191794,0.315060,0.014940,0.355089,0.095616,0.272121,EnvViolation,3.550894,1.912313,0.907071
181,181,0,Unbalance,0.330198,0.208713,0.214590,0.011740,0.121485,0.109842,-0.233604,EnvViolation,1.214849,2.196832,-0.778682
182,182,0,Normal,0.104357,0.191794,0.070270,0.007790,-0.087437,0.078594,-0.208922,DriftAccum,-0.874372,1.571882,-0.696407
183,183,0,Normal,0.087521,0.191794,0.055400,0.004960,-0.104273,0.050519,-0.016836,EnvViolation,-1.042728,1.010377,-0.056119
184,184,0,Normal,0.018884,0.191794,0.010970,0.005820,-0.172910,0.035198,-0.068637,EnvViolation,-1.729098,0.703968,-0.228790
185,185,0,Normal,0.051250,0.172507,0.032620,0.012190,-0.121257,0.032253,0.051653,EnvViolation,-1.212567,0.645061,0.172177
186,186,0,Normal,0.107520,0.172507,0.061040,0.013640,-0.064987,0.009281,0.056270,Recovery,-0.649869,0.185616,0.187566
187,187,0,Unbalance,0.322872,0.172507,0.206750,0.010580,0.150366,0.020880,0.215352,EnvViolation,1.503655,0.417593,0.717841
188,188,0,Normal,0.064365,0.118425,0.038950,0.004690,-0.054060,0.010499,-0.204425,Recovery,-0.540595,0.209970,-0.681417
189,189,0,Normal,0.236278,0.172507,0.149790,0.006770,0.063771,0.008579,0.117831,Nominal,0.637710,0.171576,0.392769
190,190,0,Unbalance,0.357769,0.208713,0.207520,0.004340,0.149056,-0.012025,0.085285,EnvViolation,1.490560,-0.240491,0.284283
191,191,0,Unbalance,0.291442,0.208713,0.174570,0.010470,0.082728,-0.015900,-0.066328,Recovery,0.827283,-0.318004,-0.221092
192,192,0,Unbalance,0.513871,0.236278,0.296680,0.020730,0.277593,0.020603,0.194865,EnvViolation,2.775928,0.412056,0.649549
193,193,0,Normal,0.275872,0.255475,0.158740,0.019070,0.020397,0.033070,-0.257196,Recovery,0.203969,0.661396,-0.857320
194,194,0,Normal,0.152551,0.236278,0.098810,0.006390,-0.083727,0.041988,-0.104123,Nominal,-0.837265,0.839762,-0.347078
195,195,0,Normal,0.230316,0.230316,0.146160,0.008860,0.000000,0.054114,0.083727,DriftAccum,0.000000,1.082275,0.279088
196,196,0,Unbalance,0.363213,0.230316,0.245650,0.008040,0.132897,0.073902,0.132897,EnvViolation,1.328971,1.478044,0.442990
197,197,0,Normal,0.260204,0.236278,0.148400,0.006250,0.023926,0.061258,-0.108971,DriftAccum,0.239260,1.225164,-0.363237
198,198,0,Normal,0.212508,0.236278,0.130270,0.010380,-0.023770,0.064287,-0.047696,DriftAccum,-0.237701,1.285743,-0.158987
199,199,0,Unbalance,0.257220,0.257220,0.173360,0.013630,0.000000,0.057910,0.023770,DriftAccum,0.000000,1.158201,0.079234
