timestamp,expected_flow_balance,observed_flow_balance,inlet_pressure,outlet_pressure
26.000,100.0000,101.781718,52.613583,47.386417
26.500,100.0000,101.914704,52.596722,47.403278
27.000,100.0000,101.714959,52.598774,47.401226
27.500,100.0000,102.005124,52.568752,47.431248
28.000,100.0000,101.966034,52.583942,47.416058
28.500,100.0000,102.209674,52.559122,47.440878
29.000,100.0000,102.092759,52.621045,47.378955
29.500,100.0000,102.146378,52.579394,47.420606
30.000,100.0000,102.244716,52.558968,47.441032
30.500,100.0000,102.308998,52.561260,47.438740
31.000,100.0000,102.416360,52.593080,47.406920
31.500,100.0000,102.581942,52.601521,47.398479
32.000,100.0000,102.561776,52.563418,47.436582
32.500,100.0000,102.495480,52.605579,47.394421
33.000,100.0000,102.697066,52.556977,47.443023
33.500,100.0000,102.688188,52.615284,47.384716
34.000,100.0000,102.782475,52.619810,47.380190
34.500,100.0000,102.714081,52.590459,47.409541
35.000,100.0000,102.659405,52.609886,47.390114
35.500,100.0000,102.792435,52.657007,47.342993
36.000,100.0000,102.806518,52.616010,47.383990
36.500,100.0000,102.776576,52.599613,47.400387
37.000,100.0000,102.968699,52.631599,47.368401
37.500,100.0000,103.108333,52.611396,47.388604
38.000,100.0000,102.946699,52.625446,47.374554
38.500,100.0000,103.119899,52.627791,47.372209
39.000,100.0000,103.063795,52.645335,47.354665
39.500,100.0000,103.166898,52.635996,47.364004
40.000,100.0000,106.800561,52.635232,47.364768
40.500,100.0000,103.259000,52.675320,47.324680
41.000,100.0000,103.291645,52.615601,47.384399
41.500,100.0000,103.315757,52.661569,47.338431
42.000,100.0000,103.349482,52.638984,47.361016
42.500,100.0000,103.467319,52.614679,47.385321
43.000,100.0000,103.263655,52.636486,47.363514
43.500,100.0000,103.448682,52.615300,47.384700
44.000,100.0000,103.526870,52.647189,47.352811
44.500,100.0000,103.402781,52.646455,47.353545
45.000,100.0000,103.490163,52.597924,47.402076
45.500,100.0000,103.563793,52.635370,47.364630
46.000,100.0000,103.487835,52.651074,47.348926
46.500,100.0000,103.604561,52.625062,47.374938
47.000,100.0000,103.613715,52.666377,47.333623
47.500,100.0000,103.538927,52.652022,47.347978
48.000,100.0000,103.608459,52.700650,47.299350
48.500,100.0000,103.469562,52.662882,47.337118
49.000,100.0000,103.602330,52.644495,47.355505
49.500,100.0000,103.785181,52.648286,47.351714
50.000,100.0000,103.816465,52.638946,47.361054
50.500,100.0000,103.667245,52.639229,47.360771
51.000,100.0000,103.583814,52.654562,47.345438
51.500,100.0000,103.614149,52.659562,47.340438
52.000,100.0000,103.463831,52.706062,47.293938
52.500,100.0000,103.612120,52.701073,47.298927
53.000,100.0000,103.535899,52.666313,47.333687
53.500,100.0000,103.858370,52.638757,47.361243
54.000,100.0000,103.471953,52.648337,47.351663
54.500,100.0000,103.613452,52.680834,47.319166
55.000,100.0000,103.660614,52.658575,47.341425
55.500,100.0000,103.408571,52.655624,47.344376
56.000,100.0000,103.612953,52.679642,47.320358
56.500,100.0000,103.331767,52.668624,47.331376
57.000,100.0000,103.572349,52.724164,47.275836
57.500,100.0000,103.475179,52.680233,47.319767
58.000,100.0000,103.298337,52.652919,47.347081
58.500,100.0000,103.366169,52.688080,47.311920
59.000,100.0000,103.371234,52.665045,47.334955
59.500,100.0000,103.192602,52.659055,47.340945
60.000,100.0000,103.149665,52.696085,47.303915
60.500,100.0000,103.012231,52.673168,47.326832
61.000,100.0000,103.185713,52.721050,47.278950
61.500,100.0000,103.105455,52.709532,47.290468
62.000,100.0000,103.015376,52.667390,47.332610
62.500,100.0000,102.938409,52.725683,47.274317
63.000,100.0000,103.014484,52.701185,47.298815
63.500,100.0000,103.141479,52.689691,47.310309
64.000,100.0000,102.862328,52.699690,47.300310
64.500,100.0000,102.730129,52.751404,47.248596
65.000,100.0000,102.801136,52.660013,47.339987
65.500,100.0000,102.578903,52.707208,47.292792
66.000,100.0000,102.601398,52.664289,47.335711
66.500,100.0000,102.283733,52.651841,47.348159
67.000,100.0000,102.381519,52.698420,47.301580
67.500,100.0000,102.335469,52.683258,47.316742
68.000,100.0000,102.128186,52.653424,47.346576
68.500,100.0000,102.168384,52.714751,47.285249
69.000,100.0000,102.135082,52.726770,47.273230
69.500,100.0000,101.951673,52.742232,47.257768
70.000,100.0000,99.065024,52.693479,47.306521
70.500,100.0000,101.741033,52.696880,47.303120
71.000,100.0000,101.513936,52.716908,47.283092
71.500,100.0000,101.609498,52.705443,47.294557
72.000,100.0000,101.432540,52.725295,47.274705
72.500,100.0000,101.524996,52.718456,47.281544
73.000,100.0000,101.242926,52.704214,47.295786
73.500,100.0000,101.171772,52.688881,47.311119
74.000,100.0000,101.059109,52.723530,47.276470
74.500,100.0000,101.106481,52.747087,47.252913
75.000,100.0000,100.929442,52.707176,47.292824
75.500,100.0000,100.786205,52.698015,47.301985
76.000,100.0000,100.641578,52.738468,47.261532
76.500,100.0000,100.437480,52.779484,47.220516
77.000,100.0000,100.424561,52.683432,47.316568
77.500,100.0000,100.302029,52.722315,47.277685
78.000,100.0000,100.134838,52.745644,47.254356
78.500,100.0000,100.041244,52.684521,47.315479
79.000,100.0000,99.791007,52.756316,47.243684
79.500,100.0000,99.859886,52.786079,47.213921
80.000,100.0000,99.770659,52.688612,47.311388
80.500,100.0000,99.557132,52.693593,47.306407
81.000,100.0000,99.492437,52.749334,47.250666
81.500,100.0000,99.138493,52.794748,47.205252
82.000,100.0000,99.146462,52.698721,47.301279
82.500,100.0000,98.982356,52.729222,47.270778
83.000,100.0000,98.830553,52.737370,47.262630
83.500,100.0000,98.793197,52.714918,47.285082
84.000,100.0000,98.569336,52.797355,47.202645
84.500,100.0000,98.337433,52.758766,47.241234
85.000,100.0000,98.278481,52.737757,47.262243
85.500,100.0000,98.172031,52.758926,47.241074
86.000,100.0000,97.901790,52.802050,47.197950
86.500,100.0000,97.896993,52.755322,47.244678
87.000,100.0000,97.638449,52.741391,47.258609
87.500,100.0000,97.642993,52.758838,47.241162
88.000,100.0000,97.435891,52.759389,47.240611
88.500,100.0000,97.302620,52.762601,47.237399
89.000,100.0000,97.168212,52.762420,47.237580
89.500,100.0000,97.026962,52.785310,47.214690
90.000,100.0000,96.804524,52.748506,47.251494
90.500,100.0000,96.591741,52.752982,47.247018
91.000,100.0000,96.441203,52.794645,47.205355
91.500,100.0000,96.369231,52.813753,47.186247
92.000,100.0000,96.408364,52.776606,47.223394
92.500,100.0000,95.955371,52.767964,47.232036
93.000,100.0000,95.926591,52.741789,47.258211
93.500,100.0000,95.766272,52.787674,47.212326
94.000,100.0000,95.603615,52.762789,47.237211
94.500,100.0000,95.434165,52.828167,47.171833
95.000,100.0000,95.337108,52.764252,47.235748
95.500,100.0000,95.175657,52.810359,47.189641
96.000,100.0000,95.006995,52.800046,47.199954
96.500,100.0000,94.977031,52.808228,47.191772
97.000,100.0000,94.888635,52.777238,47.222762
97.500,100.0000,94.726043,52.772679,47.227321
98.000,100.0000,94.463450,52.823902,47.176098
98.500,100.0000,94.421775,52.795552,47.204448
99.000,100.0000,94.122625,52.811041,47.188959
99.500,100.0000,94.030680,52.775403,47.224597
100.000,100.0000,93.893729,52.806162,47.193838
