timestamp,expected_head,observed_head,vibration_rms,flow_rate
29.500,400.0000,402.260837,2.307631,280.5631
30.000,400.0000,385.531096,2.342785,277.1613
30.500,400.0000,384.327807,2.051306,279.2146
31.000,400.0000,384.489531,2.066902,280.4078
31.500,400.0000,384.690143,2.170898,275.8238
32.000,400.0000,399.235277,2.112203,279.3776
32.500,400.0000,400.937727,2.077931,276.9000
33.000,400.0000,399.882457,2.137258,281.5750
33.500,400.0000,400.056042,2.347392,281.7642
34.000,400.0000,401.584596,2.426069,282.3531
34.500,400.0000,401.321853,2.347454,279.2143
35.000,400.0000,398.729873,2.489066,277.9787
35.500,400.0000,400.969545,2.570316,275.9437
36.000,400.0000,399.562161,2.536506,278.4472
36.500,400.0000,400.751020,2.505276,280.1415
37.000,400.0000,398.903514,2.449533,282.1500
37.500,400.0000,399.294687,2.647508,275.7479
38.000,400.0000,399.199129,2.695733,278.7696
38.500,400.0000,401.598587,2.805841,279.2166
39.000,400.0000,401.381684,2.890519,281.2339
39.500,400.0000,400.225684,2.891024,285.3056
40.000,400.0000,401.300534,2.968554,282.7798
40.500,400.0000,401.496859,2.676592,276.6594
41.000,400.0000,400.606517,2.604453,278.2211
41.500,400.0000,401.531337,2.682287,281.5996
42.000,400.0000,399.320749,2.668499,283.0703
42.500,400.0000,400.888512,2.707742,285.1142
43.000,400.0000,401.984804,2.543896,283.9537
43.500,400.0000,400.080756,2.575024,280.0456
44.000,400.0000,401.777040,2.401800,281.3556
44.500,400.0000,401.236015,2.527060,279.3688
45.000,400.0000,401.723412,2.299752,283.4412
45.500,400.0000,401.080240,2.150371,281.2238
46.000,400.0000,400.915305,2.169493,277.7912
46.500,400.0000,400.503807,1.971527,285.0722
47.000,400.0000,399.623721,1.957161,283.4347
47.500,400.0000,401.345031,2.143418,284.5501
48.000,400.0000,400.455857,2.062704,282.5328
48.500,400.0000,401.572278,2.230919,276.2033
49.000,400.0000,402.023151,2.416734,275.8796
49.500,400.0000,401.571954,2.308863,278.5521
50.000,400.0000,399.676691,2.480238,277.5001
50.500,400.0000,400.194689,2.703748,280.8838
51.000,400.0000,401.444732,2.823106,278.8819
51.500,400.0000,400.903895,2.844532,285.1202
52.000,400.0000,401.731078,2.999095,283.0569
52.500,400.0000,401.897265,2.745214,282.6426
53.000,400.0000,401.060925,2.983563,278.4182
53.500,400.0000,400.430726,3.065218,282.5199
54.000,400.0000,399.366214,3.081222,278.3179
54.500,400.0000,399.921197,3.124288,279.0138
55.000,400.0000,385.220963,3.023073,280.8439
55.500,400.0000,385.877962,2.994789,277.4770
56.000,400.0000,385.713494,3.137194,276.8509
56.500,400.0000,401.392107,2.995641,288.1832
57.000,400.0000,399.970997,2.969022,280.5820
57.500,400.0000,400.017619,3.089533,285.4042
58.000,400.0000,400.540380,2.971758,278.4467
58.500,400.0000,400.935971,3.034694,282.6827
59.000,400.0000,400.039775,2.972950,283.4862
59.500,400.0000,401.438368,2.669661,280.1971
60.000,400.0000,400.164534,2.690648,279.0506
60.500,400.0000,398.733038,2.636694,280.5744
61.000,400.0000,402.054483,2.423422,280.5654
61.500,400.0000,402.099326,2.362555,280.8640
62.000,400.0000,404.206391,2.188449,280.5076
62.500,400.0000,402.734029,2.002402,276.8770
63.000,400.0000,399.575934,2.095731,281.8769
63.500,400.0000,401.757488,2.033849,283.0176
64.000,400.0000,402.221266,2.286601,280.0977
64.500,400.0000,401.707596,2.459156,281.9259
65.000,400.0000,399.953914,2.528755,276.3626
65.500,400.0000,401.679277,2.719368,279.7036
66.000,400.0000,401.352799,2.625885,282.5738
66.500,400.0000,400.596729,2.903433,283.3461
67.000,400.0000,400.315499,3.111827,280.3722
67.500,400.0000,401.108190,3.140714,276.2589
68.000,400.0000,401.682106,3.174611,283.1088
68.500,400.0000,400.879193,3.204826,281.1089
69.000,400.0000,401.044632,3.184903,279.4181
69.500,400.0000,402.379630,3.341780,277.3886
70.000,400.0000,401.835937,3.201506,273.6392
70.500,400.0000,401.123850,3.427119,280.6612
71.000,400.0000,400.243217,3.402148,275.8038
71.500,400.0000,401.363562,3.249552,279.5523
72.000,400.0000,401.413579,3.214885,278.4325
72.500,400.0000,401.948146,3.510495,275.4881
73.000,400.0000,401.507918,3.182800,275.9642
73.500,400.0000,402.772074,3.310066,277.5874
74.000,400.0000,401.403028,3.230808,280.5439
74.500,400.0000,403.439279,3.137671,271.0211
75.000,400.0000,400.909800,2.901774,279.3876
75.500,400.0000,401.221466,2.797393,276.7452
76.000,400.0000,402.579405,2.799060,277.9878
76.500,400.0000,401.903650,2.674531,283.8019
77.000,400.0000,400.176687,2.544790,278.1766
77.500,400.0000,402.395045,2.300780,273.1847
78.000,400.0000,401.283354,1.989679,279.3486
78.500,400.0000,401.197808,1.972372,275.5392
79.000,400.0000,400.148271,2.060754,279.2557
79.500,400.0000,402.560500,2.374374,278.5834
80.000,400.0000,402.553878,2.323839,282.0551
80.500,400.0000,401.112765,2.638767,281.9154
81.000,400.0000,400.616425,2.845439,279.9721
81.500,400.0000,403.715799,2.879199,283.8075
82.000,400.0000,401.959090,2.929082,284.0819
82.500,400.0000,400.259589,2.951246,282.5599
83.000,400.0000,402.396953,3.297267,279.2169
83.500,400.0000,402.919682,3.469214,278.0324
84.000,400.0000,402.075533,3.366783,278.3231
84.500,400.0000,400.300870,3.350218,276.4681
85.000,400.0000,402.582328,3.524594,278.3499
85.500,400.0000,400.207026,3.769312,280.0036
86.000,400.0000,401.866745,3.704099,276.4869
86.500,400.0000,400.410057,3.813336,279.8278
87.000,400.0000,402.166402,3.410968,283.3303
87.500,400.0000,400.906033,3.924631,278.4677
88.000,400.0000,401.436269,3.736004,277.3726
88.500,400.0000,402.288738,3.550749,283.8673
89.000,400.0000,402.217206,3.593184,277.8274
89.500,400.0000,401.221429,3.485542,273.9000
90.000,400.0000,400.888251,3.445584,276.1955
90.500,400.0000,402.726978,3.170346,280.9698
91.000,400.0000,400.308336,3.149234,281.3882
91.500,400.0000,402.600374,3.091232,283.7606
92.000,400.0000,401.680919,2.676984,283.9713
92.500,400.0000,400.175865,2.589718,282.2113
93.000,400.0000,401.931558,2.618678,279.9878
93.500,400.0000,399.805931,2.251102,280.5222
94.000,400.0000,401.153391,2.234372,279.2572
94.500,400.0000,400.076153,2.141978,276.5569
95.000,400.0000,403.219892,2.311776,275.7901
95.500,400.0000,402.607392,2.710288,273.9878
96.000,400.0000,402.439074,2.707567,280.5270
96.500,400.0000,401.887328,2.889444,277.9210
97.000,400.0000,402.962990,2.879795,285.8757
97.500,400.0000,403.087687,3.062189,279.9838
98.000,400.0000,402.987859,3.287549,279.5128
98.500,400.0000,401.173623,3.597347,278.1770
99.000,400.0000,401.574174,3.665096,279.3772
99.500,400.0000,400.725568,3.592457,275.4452
100.000,400.0000,400.420196,3.653836,277.8194
