timestamp,episode_id,episode,event_type,event_class,observed_annulus_pa,expected_annulus_pa,observed_choke_pa,expected_choke_pa,observed_xmas_pa,expected_xmas_pa,observed_xmas_degc,expected_xmas_degc
2700,0,normal_a,0,0,12692170.0,12731230.0,1539397.5,1606751.0,10074540.0,10074540.0,119.09,119.09
2760,0,normal_a,0,0,12702145.0,12728595.0,1523448.0,1606751.0,10074540.0,10074540.0,119.09,119.09
2820,0,normal_a,0,0,12703640.0,12727830.0,1609323.0,1612835.5,10074540.0,10074540.0,119.09,119.09
2880,0,normal_a,0,0,12693665.0,12727830.0,1554738.5,1603238.5,10074540.0,10074540.0,119.09,119.09
2940,0,normal_a,0,0,12688970.0,12727830.0,1731362.5,1612835.5,10080025.0,10074540.0,119.09,119.09
3000,0,normal_a,0,0,12691410.0,12727830.0,1343174.5,1612835.5,10090505.0,10074540.0,119.09,119.09
3060,0,normal_a,0,0,12693850.0,12727830.0,1658577.0,1612835.5,10081135.0,10074540.0,119.09,119.09
3120,0,normal_a,0,0,12696300.0,12727830.0,1567219.5,1603238.5,10107835.0,10074540.0,119.09,119.09
3180,0,normal_a,0,0,12698740.0,12727830.0,1723241.5,1603238.5,10099515.0,10074540.0,119.09,119.09
3240,0,normal_a,0,0,12701180.0,12727830.0,1395299.5,1595538.75,10109800.0,10074540.0,119.09,119.09
3300,0,normal_a,0,0,12703620.0,12727830.0,1568606.0,1595538.75,10099060.0,10074540.0,119.09,119.09
3360,0,normal_a,0,0,12706070.0,12724102.5,1637551.5,1595538.75,10109280.0,10074540.0,119.09,119.09
3420,0,normal_a,0,0,12702725.0,12714075.0,1562991.5,1595538.75,10109515.0,10074540.0,119.09,119.09
3480,0,normal_a,0,0,12693085.0,12706922.5,1516536.5,1595538.75,10102885.0,10074540.0,119.09,119.09
3540,0,normal_a,0,0,12702725.0,12704855.0,1606333.5,1595538.75,10096255.0,10074540.0,119.09,119.09
3600,0,normal_a,0,0,12689920.0,12703630.0,1698063.0,1601743.75,10089625.0,10074540.0,119.09,119.09
3660,0,normal_a,0,0,12694205.0,12703172.5,1534360.5,1590837.25,10082995.0,10074540.0,119.09,119.09
3720,0,normal_a,0,0,12699190.0,12702725.0,1574322.5,1579421.5,10076355.0,10074540.0,119.1,119.09
3780,0,normal_a,0,0,12704180.0,12702725.0,1492020.5,1571464.25,10078165.0,10075447.5,119.1,119.09
3840,0,normal_a,0,0,12702725.0,12702725.0,1614639.5,1579421.5,10083175.0,10077260.0,119.1,119.09
3900,0,normal_a,0,0,12689160.0,12702435.0,1522630.0,1571464.25,10088180.0,10079095.0,119.1,119.09
3960,0,normal_a,0,0,12691435.0,12701662.5,1530235.0,1567912.75,10092525.0,10080580.0,119.1,119.09
4020,0,normal_a,0,0,12694215.0,12700185.0,1677720.5,1567912.75,10081615.0,10081375.0,119.1,119.09
4080,0,normal_a,0,0,12697000.0,12698965.0,1537606.5,1565105.5,10074540.0,10081375.0,119.1,119.09
4140,0,normal_a,0,0,12699785.0,12698965.0,1637325.5,1567912.75,10074540.0,10081375.0,119.1,119.09
4200,0,normal_a,0,0,12702565.0,12698965.0,1608942.5,1567912.75,10074540.0,10081375.0,119.1,119.09
4260,0,normal_a,0,0,12705350.0,12698965.0,1575874.0,1571464.25,10074540.0,10081375.0,119.1,119.09
4320,0,normal_a,0,0,12706050.0,12698965.0,1681089.0,1571464.25,10074540.0,10081375.0,119.1,119.09
4380,0,normal_a,0,0,12689345.0,12697870.0,1436854.5,1567912.75,10074540.0,10081375.0,119.1,119.09
4440,0,normal_a,0,0,12691560.0,12697870.0,1667634.0,1571464.25,10074540.0,10081375.0,119.1,119.09
4500,0,normal_a,0,0,12694885.0,12697870.0,1564318.0,1571464.25,10074540.0,10081375.0,119.09,119.09
4560,0,normal_a,0,0,12698210.0,12697605.0,1528793.0,1571464.25,10074540.0,10081375.0,119.08,119.09
4620,0,normal_a,0,0,12701535.0,12697605.0,1617794.5,1571464.25,10074540.0,10081375.0,119.07,119.09
4680,0,normal_a,0,0,12704860.0,12698475.0,1488313.5,1571464.25,10074540.0,10081375.0,119.06,119.09
4740,0,normal_a,0,0,12706630.0,12698965.0,1603282.0,1571464.25,10074540.0,10081375.0,119.05,119.09
4800,0,normal_a,0,0,12696990.0,12698965.0,1537321.0,1571464.25,10074540.0,10079650.0,119.04,119.09
4860,0,normal_a,0,0,12689315.0,12698965.0,1584361.5,1571464.25,10074540.0,10077260.0,119.03,119.09
4920,0,normal_a,0,0,12692145.0,12698965.0,1670881.5,1575098.25,10074540.0,10075447.5,119.02,119.09
4980,0,normal_a,0,0,12696005.0,12698700.0,1471380.5,1571464.25,10074540.0,10074540.0,119.02,119.09
5040,0,normal_a,0,0,12699865.0,12698700.0,1591255.5,1575098.25,10074540.0,10074540.0,119.02,119.09
5100,0,normal_a,0,0,12703730.0,12698700.0,1547205.0,1575098.25,10074540.0,10074540.0,119.02,119.09
5160,0,normal_a,0,0,12706660.0,12698700.0,1726637.0,1575098.25,10074540.0,10074540.0,119.03,119.09
5220,0,normal_a,0,0,12701725.0,12698700.0,1637029.5,1580117.75,10074540.0,10074540.0,119.03,119.09
5280,0,normal_a,0,0,12695075.0,12698700.0,1536949.0,1580117.75,10071700.0,10074540.0,119.03,119.09
5340,0,normal_a,0,0,12689920.0,12697605.0,1651684.0,1580117.75,10066910.0,10074540.0,119.03,119.09
5400,0,normal_a,0,0,12697155.0,12697682.5,1465692.0,1575098.25,10062130.0,10074540.0,119.03,119.08
5460,0,normal_a,0,0,12704550.0,12698700.0,1597409.0,1580117.75,10057340.0,10074540.0,119.03,119.07
5520,0,normal_a,0,0,12692920.0,12697682.5,1677403.0,1587808.5,10054590.0,10074540.0,119.04,119.06
5580,0,normal_a,0,0,12704550.0,12697682.5,1663113.5,1594332.25,10054590.0,10074540.0,119.04,119.05
5640,0,normal_a,0,0,12698655.0,12697682.5,1545287.5,1587808.5,10054590.0,10074540.0,119.04,119.05
5700,0,normal_a,0,0,12691250.0,12697682.5,1653652.5,1594332.25,10054590.0,10074540.0,119.04,119.04
5760,0,normal_a,0,0,12705505.0,12698432.5,1555772.0,1594332.25,10054590.0,10074540.0,119.04,119.04
5820,0,normal_a,0,0,12702050.0,12699220.0,1678856.0,1594332.25,10054590.0,10074540.0,119.04,119.04
5880,0,normal_a,0,0,12695750.0,12699220.0,1515600.0,1594332.25,10054590.0,10074540.0,119.05,119.04
5940,0,normal_a,0,0,12689450.0,12698432.5,1611485.5,1594332.25,10054590.0,10074540.0,119.05,119.04
6000,0,normal_a,0,0,12687930.0,12697682.5,1503615.5,1587808.5,10054590.0,10074540.0,119.05,119.04
6060,0,normal_a,0,0,12687930.0,12697072.5,1543650.5,1587808.5,10054590.0,10074540.0,119.05,119.04
6120,0,normal_a,0,0,12687930.0,12696497.5,1655409.0,1587808.5,10054590.0,10073120.0,119.05,119.04
6180,0,normal_a,0,0,12687930.0,12696497.5,1610716.0,1594332.25,10054590.0,10069305.0,119.05,119.04
6240,0,normal_a,0,0,12687930.0,12696497.5,1441923.0,1587808.5,10054590.0,10064520.0,119.06,119.04
6300,0,normal_a,0,0,12687930.0,12696497.5,1594270.0,1592762.75,10054590.0,10059735.0,119.06,119.04
6360,0,normal_a,0,0,12687930.0,12695877.5,1600434.0,1595839.5,10054590.0,10055965.0,119.06,119.04
6420,0,normal_a,0,0,12687930.0,12695412.5,1526544.0,1592762.75,10054590.0,10054590.0,119.06,119.04
6480,0,normal_a,0,0,12687930.0,12693997.5,1701856.0,1595839.5,10054590.0,10054590.0,119.06,119.04
6540,0,normal_a,0,0,12687930.0,12692532.5,1663355.0,1595839.5,10054590.0,10054590.0,119.06,119.04
6600,0,normal_a,0,0,12692705.0,12692425.0,1393716.0,1595839.5,10054590.0,10054590.0,119.07,119.04
6660,0,normal_a,0,0,12699005.0,12692812.5,1568207.0,1595839.5,10054590.0,10054590.0,119.07,119.04
6720,0,normal_a,0,0,12705305.0,12693997.5,1634082.5,1595839.5,10057010.0,10054590.0,119.07,119.04
6780,0,normal_a,0,0,12696075.0,12693997.5,1574920.5,1595839.5,10062710.0,10054590.0,119.07,119.05
6840,0,normal_a,0,0,12699735.0,12693997.5,1615009.5,1598921.5,10068410.0,10054590.0,119.07,119.05
6900,0,normal_a,0,0,12696075.0,12693997.5,1444805.0,1598921.5,10074110.0,10054590.0,119.08,119.05
6960,0,normal_a,0,0,12691865.0,12692812.5,1632485.5,1598921.5,10074540.0,10054590.0,119.08,119.05
7020,0,normal_a,0,0,12698515.0,12692812.5,1556038.5,1595839.5,10074540.0,10054590.0,119.08,119.05
7080,0,normal_a,0,0,12705165.0,12692812.5,1648868.5,1598921.5,10074540.0,10054590.0,119.08,119.05
7140,0,normal_a,0,0,12696075.0,12694335.0,1548082.5,1595839.5,10074540.0,10054590.0,119.08,119.06
7200,0,normal_a,0,0,12693830.0,12693375.0,1692006.5,1598921.5,10074540.0,10054590.0,119.09,119.06
7260,0,normal_a,0,0,12703805.0,12693375.0,1444923.5,1597352.0,10074540.0,10054590.0,119.09,119.06
7320,0,normal_a,0,0,12696075.0,12694790.0,1665826.0,1597352.0,10074540.0,10054590.0,119.09,119.06
7380,0,normal_a,0,0,12687930.0,12693267.5,1675129.5,1597352.0,10074540.0,10054590.0,119.09,119.06
7440,0,normal_a,0,0,12687930.0,12692285.0,1571572.0,1597352.0,10074540.0,10054590.0,119.09,119.07
7500,0,normal_a,0,0,12687930.0,12692285.0,1453695.5,1584595.25,10074540.0,10054590.0,119.1,119.07
7560,0,normal_a,0,0,12687930.0,12690657.5,1609584.0,1597352.0,10070110.0,10055800.0,119.08,119.07
7620,0,normal_a,0,0,12687930.0,12688690.0,1739560.0,1597352.0,10065320.0,10059860.0,119.03,119.07
7680,0,normal_a,0,0,12687930.0,12687930.0,1567430.5,1597352.0,10060530.0,10061620.0,119.07,119.07
7740,0,normal_a,0,0,12687930.0,12687930.0,1495446.5,1584595.25,10056525.0,10061620.0,119.09,119.07
7800,0,normal_a,0,0,12687930.0,12687930.0,1427659.5,1584595.25,10069465.0,10064015.0,119.07,119.07
7860,0,normal_a,0,0,12687930.0,12687930.0,1559926.0,1584595.25,10074540.0,10066865.0,119.04,119.07
7920,0,normal_a,0,0,12687930.0,12687930.0,1491195.5,1573246.25,10074540.0,10068937.5,119.02,119.07
7980,0,normal_a,0,0,12689795.0,12687930.0,1725004.0,1573246.25,10074540.0,10069787.5,119.02,119.07
8040,0,normal_a,0,0,12692945.0,12688862.5,1418819.0,1573246.25,10074540.0,10072110.0,119.02,119.07
8100,0,normal_a,0,0,12696095.0,12690830.0,1560124.0,1569889.5,10074540.0,10074325.0,119.02,119.07
8160,0,normal_a,0,0,12699245.0,12692285.0,1526925.5,1567818.75,10074540.0,10074540.0,119.03,119.07
8220,0,normal_a,0,0,12702395.0,12692825.0,1557032.5,1567818.75,10074540.0,10074540.0,119.03,119.07
8280,0,normal_a,0,0,12705545.0,12693387.5,1655135.5,1567818.75,10074540.0,10074540.0,119.03,119.07
8340,0,normal_a,0,0,12702725.0,12694952.5,1537765.0,1563777.25,10074540.0,10074540.0,119.03,119.07
8400,0,normal_a,0,0,12691250.0,12694952.5,1553343.5,1563777.25,10074540.0,10074540.0,119.03,119.07
8460,0,normal_a,0,0,12700480.0,12694952.5,1580252.5,1563777.25,10054590.0,10074540.0,119.03,119.07
8520,0,normal_a,0,0,12702725.0,12694952.5,1406811.0,1560025.0,10054590.0,10074540.0,119.03,119.07
8580,0,normal_a,0,0,12687300.0,12693387.5,1755280.0,1560025.0,10054590.0,10074540.0,119.03,119.07
8640,0,normal_a,0,0,12684860.0,12692405.0,1491108.0,1558479.25,10054590.0,10074540.0,119.04,119.05
8700,0,normal_a,0,0,12682410.0,12691557.5,1584761.5,1560025.0,10054590.0,10074540.0,119.04,119.04
8760,0,normal_a,0,0,12679970.0,12690522.5,1615986.5,1560025.0,10054590.0,10074540.0,119.04,119.04
8820,0,normal_a,0,0,12677530.0,12688862.5,1404903.0,1560025.0,10054590.0,10074540.0,119.04,119.04
8880,0,normal_a,0,0,12675085.0,12687930.0,1574238.0,1560025.0,10054590.0,10074540.0,119.04,119.04
8940,0,normal_a,0,0,12672640.0,12687930.0,1595745.5,1563777.25,10054590.0,10074540.0,119.04,119.04
9000,0,normal_a,0,0,12670200.0,12687930.0,1498940.0,1560025.0,10054590.0,10072325.0,119.04,119.04
9060,0,normal_a,0,0,12667980.0,12687930.0,1519783.5,1560025.0,10069925.0,10070017.5,119.04,119.04
9120,0,normal_a,0,0,12667980.0,12687930.0,1595570.0,1560025.0,10060370.0,10069695.0,119.05,119.04
9180,0,normal_a,0,0,12667980.0,12687930.0,1582267.0,1560025.0,10055560.0,10067392.5,119.05,119.04
9240,0,normal_a,0,0,12667980.0,12687930.0,1601269.5,1560025.0,10057860.0,10062925.0,119.05,119.04
9300,0,normal_a,0,0,12667980.0,12687930.0,1417041.5,1560025.0,10060160.0,10060450.0,119.05,119.04
9360,0,normal_a,0,0,12667980.0,12687930.0,1785285.0,1560025.0,10062455.0,10060450.0,119.05,119.04
9420,0,normal_a,0,0,12667980.0,12687615.0,1364983.5,1558479.25,10064750.0,10060450.0,119.05,119.04
9480,0,normal_a,0,0,12667980.0,12686080.0,1638289.5,1558479.25,10067050.0,10061412.5,119.05,119.04
9540,0,normal_a,0,0,12667980.0,12683635.0,1517191.5,1558479.25,10069350.0,10063602.5,119.05,119.04
9600,0,normal_a,0,0,12667980.0,12681190.0,1623509.0,1560025.0,10071645.0,10063602.5,119.06,119.04
9660,0,normal_a,0,0,12667725.0,12678750.0,1550245.5,1558578.25,10073940.0,10063602.5,119.06,119.04
9720,0,normal_a,0,0,12664940.0,12676307.5,1638181.0,1567181.0,10076240.0,10063602.5,119.06,119.04
9780,0,normal_a,0,0,12662155.0,12673862.5,1541004.0,1558578.25,10078540.0,10063602.5,119.06,119.04
9840,0,normal_a,0,0,12659375.0,12671420.0,1648176.0,1567181.0,10080835.0,10063602.5,119.06,119.04
9900,0,normal_a,0,0,12656590.0,12669090.0,1649261.0,1577245.25,10083130.0,10063602.5,119.06,119.04
9960,0,normal_a,0,0,12653805.0,12667980.0,1527881.0,1577245.25,10085430.0,10063602.5,119.06,119.04
10020,0,normal_a,0,0,12651025.0,12667980.0,1614177.5,1581259.75,10087730.0,10063602.5,119.06,119.05
10080,0,normal_a,0,0,12649260.0,12667980.0,1408781.0,1577245.25,10090020.0,10063602.5,119.06,119.05
10140,0,normal_a,0,0,12662990.0,12667980.0,1670133.5,1581259.75,10092320.0,10063602.5,119.06,119.05
10200,0,normal_a,0,0,12649525.0,12667980.0,1563778.0,1581259.75,10093550.0,10063602.5,119.06,119.05
10260,0,normal_a,0,0,12648030.0,12667980.0,1716104.0,1583514.25,10083745.0,10065900.0,119.05,119.05
10320,0,normal_a,0,0,12648030.0,12667980.0,1792821.0,1590165.75,10075540.0,10068200.0,119.04,119.05
10380,0,normal_a,0,0,12648030.0,12667980.0,1460274.5,1583514.25,10077250.0,10069637.5,119.04,119.05
10440,0,normal_a,0,0,12648030.0,12667980.0,1682312.5,1590165.75,10079740.0,10070785.0,119.03,119.05
10500,0,normal_a,0,0,12648030.0,12667852.5,1609352.5,1595657.75,10082230.0,10072792.5,119.02,119.05
10560,0,normal_a,0,0,12648030.0,12666332.5,1434242.0,1588918.5,10084720.0,10074740.0,119.02,119.05
10620,0,normal_a,0,0,12648030.0,12663965.0,1550763.5,1588918.5,10087205.0,10075890.0,119.01,119.05
10680,0,normal_a,0,0,12648030.0,12662572.5,1595712.0,1595641.0,10089690.0,10076745.0,119.0,119.05
10740,0,normal_a,0,0,12648030.0,12660765.0,1560847.5,1588918.5,10092180.0,10077895.0,119.0,119.05
10800,0,normal_a,0,0,12648030.0,12657982.5,1711017.5,1595641.0,10093185.0,10079140.0,118.99,119.05
10860,0,normal_a,0,0,12643600.0,12655197.5,1471531.0,1595641.0,10076490.0,10079140.0,118.98,119.05
10920,0,normal_a,0,0,12638810.0,12652415.0,1576233.5,1588989.5,10079150.0,10079445.0,119.01,119.05
10980,0,normal_a,0,0,12634030.0,12650275.0,1495510.5,1585972.75,10084135.0,10080287.5,119.05,119.05
11040,0,normal_a,0,0,12629240.0,12649392.5,1571347.0,1573790.25,10089120.0,10081532.5,119.02,119.05
11100,0,normal_a,0,0,12628080.0,12648645.0,1626134.0,1585972.75,10092490.0,10082680.0,119.0,119.05
11160,0,normal_a,0,0,12628080.0,12648030.0,1664506.5,1585972.75,10076035.0,10082680.0,118.98,119.05
11220,0,normal_a,0,0,12628080.0,12648030.0,1554048.5,1585972.75,10069920.0,10082680.0,118.98,119.05
11280,0,normal_a,0,0,12628080.0,12648030.0,1783299.5,1585972.75,10064935.0,10082680.0,118.98,119.04
11340,0,normal_a,0,0,12628080.0,12648030.0,1587279.0,1591495.5,10059950.0,10082680.0,118.98,119.03
11400,0,normal_a,0,0,12628080.0,12648030.0,1550098.0,1581756.25,10054960.0,10082680.0,118.98,119.03
11460,0,normal_a,0,0,12628080.0,12648030.0,1582317.0,1584798.0,10046135.0,10082680.0,118.98,119.02
11520,0,normal_a,0,0,12628080.0,12648030.0,1473398.0,1579275.25,10036995.0,10082680.0,118.98,119.02
11580,0,normal_a,0,0,12628080.0,12648030.0,1481596.5,1579275.25,10032385.0,10082680.0,118.98,119.02
11640,0,normal_a,0,0,12628080.0,12648030.0,1612640.5,1579275.25,10029355.0,10082680.0,118.98,119.01
11700,0,normal_a,0,0,12626460.0,12645815.0,1750547.5,1579275.25,10026325.0,10080985.0,118.98,119.01
11760,0,normal_a,0,0,12624320.0,12641205.0,1423030.0,1579275.25,10023295.0,10079445.0,118.98,119.0
11820,0,normal_a,0,0,12622185.0,12636420.0,1557704.0,1573790.25,10020265.0,10078200.0,118.98,119.0
11880,0,normal_a,0,0,12620050.0,12631635.0,1566332.5,1573790.25,10017235.0,10076870.0,118.98,118.99
11940,0,normal_a,0,0,12617910.0,12628660.0,1773403.0,1573790.25,10014205.0,10076262.5,118.98,118.99
12000,0,normal_a,0,0,12615770.0,12628080.0,1468642.0,1573790.25,10011175.0,10075787.5,118.98,118.98
12060,0,normal_a,0,0,12613635.0,12628080.0,1581284.5,1573790.25,10008145.0,10072730.0,118.99,118.98
12120,0,normal_a,0,0,12611500.0,12628080.0,1518188.0,1568839.75,10005115.0,10067427.5,119.01,118.98
12180,0,normal_a,0,0,12609360.0,12628080.0,1645147.0,1573790.25,10002085.0,10062442.5,119.02,118.98
12240,0,normal_a,0,0,12616610.0,12628080.0,1715882.5,1573790.25,9999055.5,10057455.0,119.03,118.98
12300,0,normal_a,0,0,12628080.0,12628080.0,1430372.0,1568839.75,9996025.0,10050547.5,119.05,118.98
12360,0,normal_a,0,0,12628080.0,12628080.0,1465567.0,1568839.75,9998582.5,10041565.0,119.06,118.98
12420,0,normal_a,0,0,12628080.0,12628080.0,1648106.5,1573790.25,10005265.0,10034690.0,119.07,118.98
12480,0,normal_a,0,0,12628080.0,12628080.0,1467672.5,1568839.75,10011955.0,10030870.0,119.09,118.98
12540,0,normal_a,0,0,12628080.0,12628080.0,1633963.5,1573790.25,10016800.0,10027840.0,119.09,118.98
12600,0,normal_a,0,0,12628080.0,12628080.0,1655738.5,1573790.25,10020365.0,10024810.0,119.06,118.98
12660,0,normal_a,0,0,12628080.0,12628080.0,1626940.0,1578759.0,10023930.0,10023612.5,119.02,118.99
12720,0,normal_a,0,0,12628080.0,12628080.0,1306045.5,1576315.75,10027500.0,10023612.5,119.02,118.99
12780,0,normal_a,0,0,12628080.0,12628080.0,1542239.5,1576315.75,10031070.0,10023612.5,119.03,118.99
12840,0,normal_a,0,0,12628080.0,12628080.0,1723704.5,1581800.75,10034640.0,10023612.5,119.03,118.99
12900,0,normal_a,0,0,12627170.0,12628080.0,1357133.0,1573808.5,10038200.0,10023612.5,119.03,118.99
12960,0,normal_a,0,0,12625035.0,12628080.0,1540724.0,1562018.25,10041770.0,10023612.5,119.04,119.0
13020,0,normal_a,0,0,12622900.0,12628080.0,1543532.0,1562018.25,10045340.0,10023612.5,119.04,119.01
13080,0,normal_a,0,0,12620760.0,12628080.0,1565520.5,1561612.25,10048910.0,10023612.5,119.04,119.02
13140,0,normal_a,0,0,12618625.0,12627625.0,1627560.0,1561612.25,10052475.0,10023612.5,119.05,119.02
13200,0,normal_a,0,0,12616485.0,12626815.0,1618480.0,1565926.5,10054590.0,10023612.5,119.05,119.02
13260,0,normal_a,0,0,12614350.0,12625747.5,1440308.5,1561612.25,10054590.0,10023612.5,119.05,119.03
13320,0,normal_a,0,0,12612210.0,12624677.5,1593858.0,1565926.5,10054590.0,10023612.5,119.06,119.03
13380,0,normal_a,0,0,12610070.0,12623610.0,1656232.5,1573808.5,10054590.0,10023612.5,119.06,119.03
13440,0,normal_a,0,0,12609060.0,12622542.5,1520813.0,1565926.5,10054590.0,10023612.5,119.03,119.03
13500,0,normal_a,0,0,12619020.0,12621472.5,1432982.5,1561612.25,10054590.0,10023612.5,118.99,119.03
13560,0,normal_a,0,0,12624760.0,12621472.5,1617795.0,1565926.5,10054590.0,10025715.0,118.99,119.03
13620,0,normal_a,0,0,12611460.0,12620405.0,1616305.5,1573808.5,10054590.0,10029285.0,119.0,119.03
13680,0,normal_a,0,0,12619020.0,12619890.0,1401378.5,1573402.5,10054590.0,10032855.0,119.01,119.03
13740,0,normal_a,0,0,12624760.0,12621830.0,1629829.0,1573402.5,10054590.0,10036420.0,119.02,119.03
13800,0,normal_a,0,0,12610505.0,12621830.0,1493215.0,1573402.5,10054590.0,10039985.0,119.03,119.03
13860,0,normal_a,0,0,12615010.0,12621830.0,1523708.0,1554526.25,10054590.0,10043555.0,119.04,119.04
13920,0,normal_a,0,0,12621310.0,12622105.0,1685494.5,1579689.25,10054590.0,10047125.0,119.05,119.04
13980,0,normal_a,0,0,12625710.0,12623830.0,1552812.0,1559166.25,10054590.0,10050692.5,119.06,119.04
14040,0,normal_a,0,0,12610130.0,12623830.0,1580278.5,1559166.25,10054590.0,10053532.5,119.06,119.04
14100,0,normal_a,0,0,12612745.0,12622105.0,1658189.0,1572899.5,10054590.0,10054590.0,119.06,119.04
14160,0,normal_a,0,0,12617730.0,12621035.0,1501080.5,1572899.5,10054590.0,10054590.0,119.06,119.04
14220,0,normal_a,0,0,12622720.0,12621035.0,1440933.5,1559166.25,10054590.0,10054590.0,119.06,119.04
