timestamp,expected_torque,observed_torque,wob,rpm
79.500,18.0000,20.646169,149.9616,79.4298
80.000,18.0000,28.941197,150.2133,79.6520
80.500,18.0000,28.152458,151.1802,79.4861
81.000,18.0000,28.204399,152.1962,78.6904
81.500,18.0000,20.203428,149.9976,79.9880
82.000,18.0000,20.552746,151.8716,78.6501
82.500,18.0000,20.498249,147.6469,78.7244
83.000,18.0000,20.740692,149.9232,79.7296
83.500,18.0000,20.444275,149.6041,79.6363
84.000,18.0000,20.325415,146.9605,79.6426
84.500,18.0000,20.659256,145.6696,79.0083
85.000,18.0000,20.428864,153.4897,78.6155
85.500,18.0000,20.390770,148.1792,78.4470
86.000,18.0000,20.369851,147.1282,78.4524
86.500,18.0000,20.113024,147.0054,78.1822
87.000,18.0000,20.453652,148.6326,78.3428
87.500,18.0000,20.768481,149.9038,78.7340
88.000,18.0000,20.500808,153.1858,79.0639
88.500,18.0000,20.797613,144.8279,78.6111
89.000,18.0000,20.018698,149.1476,79.1187
89.500,18.0000,20.482711,151.0372,78.4146
90.000,18.0000,28.872741,146.8928,78.7892
90.500,18.0000,28.840942,151.0718,78.8504
91.000,18.0000,29.311914,149.1712,78.6825
91.500,18.0000,19.917148,153.5379,78.7175
92.000,18.0000,20.407195,152.6418,79.5138
92.500,18.0000,20.807498,147.1302,79.0995
93.000,18.0000,20.603582,147.6585,79.4057
93.500,18.0000,20.165222,151.1343,79.1077
94.000,18.0000,21.435303,150.6503,77.8428
94.500,18.0000,20.584164,150.1293,79.0438
95.000,18.0000,21.144245,146.0806,78.6950
95.500,18.0000,21.155958,153.0879,79.7845
96.000,18.0000,20.762934,152.1952,79.7039
96.500,18.0000,21.254421,151.4474,79.2559
97.000,18.0000,20.673035,147.1055,79.3274
97.500,18.0000,20.820880,149.9437,78.5406
98.000,18.0000,20.822128,150.4655,78.3131
98.500,18.0000,20.975550,150.4921,78.7793
99.000,18.0000,20.746911,151.5732,79.7483
99.500,18.0000,20.804627,152.4689,79.2506
100.000,18.0000,28.204024,148.4776,78.4821
