step,value,baseline,residual,drift,slew,grammar_state
45,5.061373,5.000000,0.061373,0.00310565,-0.00594756,Admissible
46,4.944845,5.000000,-0.055155,0.00172051,-0.00867087,Admissible
47,5.028573,5.000000,0.028573,0.00118117,-0.00346157,Admissible
48,4.965585,5.000000,-0.034415,-0.00008579,-0.00372399,Admissible
49,5.070906,5.000000,0.070906,-0.00034456,0.00421058,Admissible
50,4.905116,5.000000,-0.094884,-0.00210965,-0.00125843,Admissible
51,5.074528,5.000000,0.074528,-0.00068436,0.00194093,Admissible
52,5.175227,5.000000,0.175227,0.00186892,0.01121531,Admissible
53,5.175365,5.000000,0.175365,0.00538728,0.01345139,Admissible
54,5.299339,5.000000,0.299339,0.00886254,0.02637155,Admissible
55,5.329937,5.000000,0.329937,0.01173254,0.04004793,Admissible
56,5.300260,5.000000,0.300260,0.01549614,0.04080306,Admissible
57,5.296982,5.000000,0.296982,0.01746603,0.04247665,Boundary
58,5.360787,5.000000,0.360787,0.01894963,0.04807835,Boundary
59,5.473547,5.000000,0.473547,0.02311190,0.04954070,Boundary
60,5.449597,5.000000,0.449597,0.02544533,0.04674633,Boundary
61,5.479468,5.000000,0.479468,0.02927862,0.03261020,Boundary
62,5.600729,5.000000,0.600729,0.03242384,0.02893992,Boundary
63,5.685634,5.000000,0.685634,0.03705496,0.02203568,Admissible
64,5.612786,5.000000,0.612786,0.03806950,0.01481473,Admissible
65,5.788775,5.000000,0.788775,0.04235100,0.01060872,Admissible
66,5.746533,5.000000,0.746533,0.04309528,0.00920108,Admissible
67,5.860024,5.000000,0.860024,0.04557734,0.00726095,Admissible
68,5.940836,5.000000,0.940836,0.04696900,0.01113002,Admissible
69,5.955858,5.000000,0.955858,0.04877168,0.00792328,Admissible
70,6.009671,5.000000,1.009671,0.04739464,0.01744843,Admissible
71,6.038684,5.000000,1.038684,0.04744601,0.01743508,Admissible
72,6.088341,5.000000,1.088341,0.04834688,0.01301681,Admissible
73,6.052990,5.000000,1.052990,0.04737183,0.00693740,Admissible
74,6.106322,5.000000,1.106322,0.04779640,-0.00364859,Admissible
75,6.190067,5.000000,1.190067,0.04868695,-0.01175632,Admissible
76,6.303903,5.000000,1.303903,0.04944172,-0.01149079,Admissible
77,6.322009,5.000000,1.322009,0.04889414,-0.00999014,Admissible
78,6.457632,5.000000,1.457632,0.04975009,-0.00314107,Admissible
79,6.370524,5.000000,1.370524,0.04949266,-0.00761183,Admissible
80,6.449704,5.000000,1.449704,0.04863939,-0.00469485,Admissible
81,6.479512,5.000000,1.479512,0.04717967,-0.00033666,Admissible
82,6.632843,5.000000,1.632843,0.04832121,0.00633797,Admissible
83,6.748352,5.000000,1.748352,0.05090144,0.01253462,Admissible
84,6.715534,5.000000,1.715534,0.05026455,0.01846835,Boundary
85,6.727184,5.000000,1.727184,0.05091459,0.01291791,Boundary
86,6.809214,5.000000,1.809214,0.05065836,0.01439141,Boundary
87,6.917107,5.000000,1.917107,0.05213741,0.01503435,Boundary
88,6.873281,5.000000,1.873281,0.05267674,0.00792979,Boundary
89,6.995321,5.000000,1.995321,0.05379452,0.00665065,Boundary
90,7.087967,5.000000,2.087967,0.05552240,0.00525015,Boundary
91,7.120697,5.000000,2.120697,0.05655446,0.00165918,Boundary
92,7.187656,5.000000,2.187656,0.05770004,-0.00215990,Violation
93,7.163928,5.000000,2.163928,0.05629537,-0.00364140,Violation
94,7.299404,5.000000,2.299404,0.05599757,0.00170473,Violation
95,7.218479,5.000000,2.218479,0.05407188,-0.00249778,Violation
96,7.253028,5.000000,2.253028,0.05289067,-0.01085518,Violation
97,7.358745,5.000000,2.358745,0.05207833,-0.01260006,Violation
98,7.382356,5.000000,2.382356,0.05218570,-0.02076967,Violation
99,7.547722,5.000000,2.547722,0.05188949,-0.01376530,Violation
100,7.484549,5.000000,2.484549,0.05017080,-0.01348484,Violation
101,7.459869,5.000000,2.459869,0.04701403,-0.01321160,Violation
102,7.621741,5.000000,2.621741,0.04711652,-0.00985867,Violation
103,7.619065,5.000000,2.619065,0.04751754,-0.01317653,Violation
104,7.745570,5.000000,2.745570,0.04789826,-0.00624361,Violation
105,7.688078,5.000000,2.688078,0.04609268,-0.00253510,Violation
106,7.777862,5.000000,2.777862,0.04541999,0.00128380,Violation
107,7.772473,5.000000,2.772473,0.04491726,-0.00208467,Violation
108,7.917226,5.000000,2.917226,0.04450419,0.00598870,Violation
109,8.010736,5.000000,3.010736,0.04578408,0.01271834,Violation
110,8.036893,5.000000,3.036893,0.04737353,0.01501604,Violation
111,7.965881,5.000000,2.965881,0.04703836,0.00907120,Violation
112,8.023630,5.000000,3.023630,0.04731447,0.00175210,Violation
113,8.236471,5.000000,3.236471,0.04899942,0.00798225,Violation
114,8.182688,5.000000,3.182688,0.05044228,0.00181355,Violation
115,8.346972,5.000000,3.346972,0.05162604,0.00941358,Violation
116,8.293558,5.000000,3.293558,0.05089528,0.01059067,Violation
117,8.260944,5.000000,3.260944,0.04980309,0.00298644,Violation
118,8.397555,5.000000,3.397555,0.04967863,0.00210831,Violation
119,8.425861,5.000000,3.425861,0.05104295,-0.00645572,Violation
120,8.579443,5.000000,3.579443,0.05228334,-0.00153350,Violation
121,8.606696,5.000000,3.606696,0.05187690,0.00577856,Violation
122,8.589535,5.000000,3.589535,0.05205663,0.00042906,Violation
123,8.606411,5.000000,3.606411,0.05097986,-0.00322965,Violation
124,8.659647,5.000000,3.659647,0.05117633,-0.01007061,Violation
125,8.812616,5.000000,3.812616,0.05127575,-0.00322659,Violation
126,8.830614,5.000000,3.830614,0.05135888,0.00030853,Violation
127,8.827109,5.000000,3.827109,0.04972377,0.00335745,Violation
128,8.864367,5.000000,3.864367,0.04932057,-0.00049745,Violation
129,8.900256,5.000000,3.900256,0.04948227,-0.00812179,Violation
130,9.039102,5.000000,4.039102,0.05070287,-0.00877328,Violation
131,8.957117,5.000000,3.957117,0.04812393,-0.00782751,Violation
132,9.101382,5.000000,4.101382,0.04702716,0.00044931,Violation
133,9.123435,5.000000,4.123435,0.04798542,-0.00340063,Violation
134,9.181585,5.000000,4.181585,0.04759140,-0.00163076,Violation
135,9.308164,5.000000,4.308164,0.05009750,-0.00259986,Violation
136,9.245048,5.000000,4.245048,0.04941318,-0.00359504,Violation
137,9.403924,5.000000,4.403924,0.04905272,0.00769386,Violation
138,9.301585,5.000000,4.301585,0.04766854,0.00461570,Violation
139,9.366850,5.000000,4.366850,0.04630421,0.00400414,Violation
140,9.526732,5.000000,4.526732,0.04823386,0.00365210,Violation
141,9.566123,5.000000,4.566123,0.04973206,0.00229904,Violation
142,9.606960,5.000000,4.606960,0.05009992,0.00293182,Violation
143,9.745487,5.000000,4.745487,0.05118325,0.01033882,Violation
144,9.759522,5.000000,4.759522,0.05159475,0.01439407,Violation
145,9.791483,5.000000,4.791483,0.05322419,0.01085028,Violation
146,9.867526,5.000000,4.867526,0.05475216,0.00963761,Violation
147,9.853679,5.000000,4.853679,0.05446770,0.00730736,Violation
148,9.891960,5.000000,4.891960,0.05377468,0.00488099,Violation
149,10.042973,5.000000,5.042973,0.05426040,0.00723373,Violation
150,10.022882,5.000000,5.022882,0.05493305,-0.00136765,Violation
151,10.118216,5.000000,5.118216,0.05419374,0.00107092,Violation
152,10.074336,5.000000,5.074336,0.05335944,-0.00731681,Violation
153,10.108958,5.000000,5.108958,0.05190485,-0.01314412,Violation
154,10.288674,5.000000,5.288674,0.05245379,-0.00974098,Violation
155,10.218896,5.000000,5.218896,0.05233974,-0.01760377,Violation
156,10.310905,5.000000,5.310905,0.05117401,-0.01464076,Violation
157,10.398660,5.000000,5.398660,0.05216770,-0.01547977,Violation
158,10.342431,5.000000,5.342431,0.04924640,-0.01325349,Violation
159,10.454346,5.000000,5.454346,0.04738921,-0.00574748,Violation
160,10.586151,5.000000,5.586151,0.04830406,0.00125472,Violation
161,10.527443,5.000000,5.527443,0.04740907,0.00277052,Violation
162,10.584559,5.000000,5.584559,0.04652923,0.00587912,Violation
163,10.645395,5.000000,5.645395,0.04723567,0.00297123,Violation
164,10.643371,5.000000,5.643371,0.04678154,-0.00090091,Violation
165,10.761736,5.000000,5.761736,0.04719392,0.00082128,Violation
166,10.762940,5.000000,5.762940,0.04736512,-0.00274426,Violation
167,10.864118,5.000000,5.864118,0.04741661,0.00109091,Violation
168,10.851651,5.000000,5.851651,0.04637499,0.00197635,Violation
169,11.000242,5.000000,6.000242,0.04839736,0.00154364,Violation
170,10.909198,5.000000,5.909198,0.04736236,-0.00254864,Violation
171,10.990040,5.000000,5.990040,0.04765473,-0.00638677,Violation
172,11.106451,5.000000,6.106451,0.04760625,-0.00090447,Violation
173,11.218783,5.000000,6.218783,0.04815712,0.00899290,Violation
174,11.108868,5.000000,6.108868,0.04830650,0.00044142,Violation
175,11.161024,5.000000,6.161024,0.04686582,-0.00052165,Violation
176,11.291431,5.000000,6.291431,0.04732413,0.00124904,Violation
177,11.263484,5.000000,6.263484,0.04729433,-0.00405532,Violation
178,11.469223,5.000000,6.469223,0.04801536,0.00626113,Violation
179,11.529730,5.000000,6.529730,0.04967343,0.01290464,Violation
180,11.575080,5.000000,6.575080,0.05244337,0.01233012,Violation
181,11.589195,5.000000,6.589195,0.05300087,0.01326368,Violation
182,11.694075,5.000000,6.694075,0.05436187,0.01586606,Violation
183,11.650469,5.000000,6.650469,0.05439205,0.01259901,Violation
184,11.624303,5.000000,6.624303,0.05250508,0.00842500,Violation
185,11.789277,5.000000,6.789277,0.05336871,0.00538539,Violation
186,11.855885,5.000000,6.855885,0.05365772,0.00470408,Violation
187,11.804470,5.000000,6.804470,0.05316626,-0.00630155,Violation
188,11.831114,5.000000,6.831114,0.05144452,-0.01424557,Violation
189,11.917529,5.000000,6.917529,0.05183057,-0.02354951,Violation
190,11.918533,5.000000,6.918533,0.04941404,-0.02446190,Violation
191,11.961195,5.000000,6.961195,0.04736564,-0.02435745,Violation
192,12.069530,5.000000,7.069530,0.04724255,-0.02207992,Violation
193,12.123655,5.000000,7.123655,0.04821811,-0.02229571,Violation
194,12.121288,5.000000,7.121288,0.04606365,-0.01613313,Violation
195,12.253390,5.000000,7.253390,0.04509744,-0.00401870,Violation
196,12.264100,5.000000,7.264100,0.04470061,0.00278303,Violation
197,12.338721,5.000000,7.338721,0.04346588,0.01678873,Violation
198,12.353689,5.000000,7.353689,0.04407660,0.01829951,Violation
199,12.399711,5.000000,7.399711,0.04497012,0.01738657,Violation
