step,value,baseline,residual,drift,slew,grammar_state
172,15.655012,5.000000,10.655012,0.08715768,0.00326670,Violation
173,15.706957,5.000000,10.706957,0.08511714,0.01279194,Violation
174,15.635285,5.000000,10.635285,0.08487243,-0.01198055,Violation
175,15.706153,5.000000,10.706153,0.08463715,-0.04476173,Violation
176,15.947836,5.000000,10.947836,0.08427972,-0.03421794,Violation
177,15.930159,5.000000,10.930159,0.07982416,-0.02651348,Violation
178,16.004529,5.000000,11.004529,0.07555514,-0.01082395,Violation
179,16.165889,5.000000,11.165889,0.07692164,0.00272102,Violation
180,16.137807,5.000000,11.137807,0.07795399,-0.01468899,Violation
181,16.302397,5.000000,11.302397,0.07465932,0.01346359,Violation
182,16.326353,5.000000,11.326353,0.07634893,0.01053662,Violation
183,16.374477,5.000000,11.374477,0.07378776,0.01669849,Violation
184,16.595715,5.000000,11.595715,0.07887882,0.01175338,Violation
185,16.691561,5.000000,11.691561,0.08409631,0.00844328,Violation
186,16.555463,5.000000,11.555463,0.07749836,0.01192068,Violation
187,16.708719,5.000000,11.708719,0.07916098,-0.00522983,Violation
188,16.876773,5.000000,11.876773,0.08274584,-0.01047545,Violation
189,16.859368,5.000000,11.859368,0.07966989,-0.00913952,Violation
190,17.095673,5.000000,12.095673,0.08015464,0.01232870,Violation
191,17.003990,5.000000,12.003990,0.08029002,-0.00453664,Violation
192,17.058587,5.000000,12.058587,0.07751326,-0.01407822,Violation
193,17.158877,5.000000,12.158877,0.07533851,-0.01313736,Violation
194,17.376984,5.000000,12.376984,0.07910406,-0.00366215,Violation
195,17.351628,5.000000,12.351628,0.07710801,0.00206512,Violation
196,17.602589,5.000000,12.602589,0.08175350,0.01027534,Violation
197,17.704573,5.000000,12.704573,0.08498951,0.02679400,Violation
198,17.667936,5.000000,12.667936,0.08376232,0.03229694,Violation
199,17.851877,5.000000,12.851877,0.08883527,0.03365459,Violation
