step,value,baseline,residual,drift,slew,grammar_state
45,188.765360,100.000000,88.765360,6.03872183,0.42559302,Admissible
46,193.155769,100.000000,93.155769,6.16560337,0.41885602,Boundary
47,203.381252,100.000000,103.381252,6.24421536,1.29928088,Boundary
48,202.845138,100.000000,102.845138,6.10102936,1.47862770,Boundary
49,217.042511,100.000000,117.042511,6.24322928,1.92060238,Violation
50,219.968623,100.000000,119.968623,6.39140861,1.20637069,Violation
51,224.687866,100.000000,124.687866,6.46184441,0.28817957,Violation
52,235.116215,100.000000,135.116215,6.67164351,-0.42543805,Violation
53,241.758474,100.000000,141.758474,6.73521052,-0.51100433,Violation
54,250.398228,100.000000,150.398228,6.76279455,0.01363845,Violation
55,255.131259,100.000000,155.131259,6.77211453,0.08173717,Violation
56,260.940635,100.000000,160.940635,6.70243218,0.48386852,Violation
57,274.415859,100.000000,174.415859,6.82389696,1.10637959,Violation
58,278.884495,100.000000,178.884495,6.94998111,1.15187872,Violation
59,290.087946,100.000000,190.087946,7.15493408,1.46584571,Violation
60,294.413119,100.000000,194.413119,7.27791653,1.12990336,Violation
61,307.406731,100.000000,207.406731,7.47386609,1.49311737,Violation
62,307.953642,100.000000,207.953642,7.56760594,0.61388122,Violation
63,317.419796,100.000000,217.419796,7.50920927,0.90888974,Violation
64,326.307956,100.000000,226.307956,7.66946064,0.30068303,Violation
65,333.560410,100.000000,233.560410,7.70439282,-0.10974302,Violation
66,341.629037,100.000000,241.629037,7.67019124,0.01437950,Violation
67,355.155319,100.000000,255.155319,7.85445250,0.21760413,Violation
68,359.116100,100.000000,259.116100,7.89880103,0.21605276,Violation
69,366.335441,100.000000,266.335441,7.95134883,-0.07816167,Violation
70,382.936501,100.000000,282.936501,8.14009109,0.96785180,Violation
71,386.223849,100.000000,286.223849,8.12055191,1.55910754,Violation
72,394.873951,100.000000,294.873951,8.25483166,1.32509425,Violation
73,409.561487,100.000000,309.561487,8.45376765,1.89743115,Violation
74,414.369631,100.000000,314.369631,8.62630230,1.41311562,Violation
75,422.342077,100.000000,322.342077,8.67786129,1.08412301,Violation
76,440.714690,100.000000,340.714690,9.10309252,0.99963084,Violation
77,447.789410,100.000000,347.789410,9.24471794,1.33050818,Violation
78,452.281713,100.000000,352.281713,9.26969902,0.82912039,Violation
79,467.657228,100.000000,367.657228,9.45136570,1.02809434,Violation
80,478.651555,100.000000,378.651555,9.61028472,1.30816057,Violation
81,483.489811,100.000000,383.489811,9.60250968,1.03381822,Violation
82,494.549617,100.000000,394.549617,9.75104933,0.41476116,Violation
83,505.178166,100.000000,405.178166,9.78063114,0.32134022,Violation
84,516.970566,100.000000,416.970566,9.78963958,0.46506755,Violation
85,523.718243,100.000000,423.718243,9.90367335,-0.35969305,Violation
86,540.987396,100.000000,440.987396,10.04056825,0.29336737,Violation
87,546.514938,100.000000,446.514938,10.01007051,0.41849666,Violation
88,558.741003,100.000000,458.741003,10.16329333,0.18608362,Violation
89,572.555424,100.000000,472.555424,10.26646824,0.97860529,Violation
90,579.699708,100.000000,479.699708,10.21108513,1.57553124,Violation
91,589.862774,100.000000,489.862774,10.37271895,0.94617802,Violation
92,600.384268,100.000000,500.384268,10.46685326,0.46890846,Violation
93,609.306419,100.000000,509.306419,10.36741121,0.57810894,Violation
94,627.978507,100.000000,527.978507,10.61326928,0.56030545,Violation
95,635.211327,100.000000,535.211327,10.78149547,0.12233644,Violation
96,643.132074,100.000000,543.132074,10.72683417,-0.03487628,Violation
97,658.569091,100.000000,558.569091,10.80394182,0.19258831,Violation
98,667.513691,100.000000,567.513691,10.82255349,0.38504919,Violation
99,686.389381,100.000000,586.389381,11.07021335,1.03653023,Violation
100,691.956738,100.000000,591.956738,11.04478071,1.49304440,Violation
101,707.485083,100.000000,607.485083,11.30010932,1.33434086,Violation
102,715.780491,100.000000,615.780491,11.32611829,1.17965039,Violation
103,731.596887,100.000000,631.596887,11.49233349,1.41530190,Violation
104,747.093295,100.000000,647.093295,11.82331417,1.40502087,Violation
105,753.428375,100.000000,653.428375,11.89344471,0.94737859,Violation
106,765.888946,100.000000,665.888946,11.94500334,0.63445991,Violation
107,780.653793,100.000000,680.653793,12.03763235,0.47985366,Violation
108,799.017798,100.000000,699.017798,12.20046036,1.40820857,Violation
109,804.115592,100.000000,704.115592,12.34668080,0.49666273,Violation
110,820.273619,100.000000,720.273619,12.47444290,0.43715339,Violation
111,833.809129,100.000000,733.809129,12.50596305,0.76360650,Violation
112,844.243606,100.000000,744.243606,12.55841329,0.48014386,Violation
113,863.002724,100.000000,763.002724,12.67227821,1.33061714,Violation
114,871.802958,100.000000,771.802958,12.84727929,0.67738461,Violation
115,889.412262,100.000000,789.412262,12.95938893,1.01376535,Violation
116,898.749816,100.000000,798.749816,13.04340615,0.48820522,Violation
117,911.614713,100.000000,811.614713,13.00296911,0.74411525,Violation
118,923.637760,100.000000,823.637760,13.01559733,0.33778286,Violation
119,938.525133,100.000000,838.525133,13.15730413,-0.33573264,Violation
120,953.371150,100.000000,853.371150,13.16747850,-0.07333546,Violation
121,969.611388,100.000000,869.611388,13.22559380,0.40745953,Violation
122,982.557854,100.000000,882.557854,13.30164336,0.78791051,Violation
123,995.907496,100.000000,895.907496,13.51503390,0.27570842,Violation
124,1000.000000,100.000000,900.000000,13.27321079,0.06906497,Violation
125,1000.000000,100.000000,900.000000,12.79345844,-1.47679302,Violation
126,1000.000000,100.000000,900.000000,12.05855503,-3.79852500,Violation
127,1000.000000,100.000000,900.000000,11.02824070,-6.22087967,Violation
128,1000.000000,100.000000,900.000000,9.97762834,-9.41959832,Violation
129,1000.000000,100.000000,900.000000,8.68917525,-11.75826019,Violation
130,1000.000000,100.000000,900.000000,7.44599854,-13.84291698,Violation
131,1000.000000,100.000000,900.000000,6.07465290,-14.35017106,Violation
132,1000.000000,100.000000,900.000000,4.70926794,-13.32279103,Violation
133,1000.000000,100.000000,900.000000,3.37173688,-10.85637175,Violation
134,1000.000000,100.000000,900.000000,2.18683703,-7.78949712,Violation
135,1000.000000,100.000000,900.000000,1.20655600,-4.64795114,Violation
136,1000.000000,100.000000,900.000000,0.52375017,-2.16112310,Violation
137,1000.000000,100.000000,900.000000,0.10231260,-0.43848257,Violation
138,1000.000000,100.000000,900.000000,0.00000000,0.00000000,Violation
139,1000.000000,100.000000,900.000000,0.00000000,0.00000000,Violation
140,1000.000000,100.000000,900.000000,0.00000000,0.00000000,Violation
141,1000.000000,100.000000,900.000000,0.00000000,0.00000000,Violation
142,1000.000000,100.000000,900.000000,0.00000000,0.00000000,Violation
143,1000.000000,100.000000,900.000000,0.00000000,0.00000000,Violation
144,1000.000000,100.000000,900.000000,0.00000000,0.00000000,Violation
145,1000.000000,100.000000,900.000000,0.00000000,0.00000000,Violation
146,1000.000000,100.000000,900.000000,0.00000000,0.00000000,Violation
147,1000.000000,100.000000,900.000000,0.00000000,0.00000000,Violation
148,1000.000000,100.000000,900.000000,0.00000000,0.00000000,Violation
149,1000.000000,100.000000,900.000000,0.00000000,0.00000000,Violation
150,1000.000000,100.000000,900.000000,0.00000000,0.00000000,Violation
151,1000.000000,100.000000,900.000000,0.00000000,0.00000000,Violation
152,1000.000000,100.000000,900.000000,0.00000000,0.00000000,Violation
153,1000.000000,100.000000,900.000000,0.00000000,0.00000000,Violation
154,1000.000000,100.000000,900.000000,0.00000000,0.00000000,Violation
155,1000.000000,100.000000,900.000000,0.00000000,0.00000000,Violation
156,1000.000000,100.000000,900.000000,0.00000000,0.00000000,Violation
157,1000.000000,100.000000,900.000000,0.00000000,0.00000000,Violation
158,1000.000000,100.000000,900.000000,0.00000000,0.00000000,Violation
159,1000.000000,100.000000,900.000000,0.00000000,0.00000000,Violation
160,1000.000000,100.000000,900.000000,0.00000000,0.00000000,Violation
161,1000.000000,100.000000,900.000000,0.00000000,0.00000000,Violation
162,1000.000000,100.000000,900.000000,0.00000000,0.00000000,Violation
163,1000.000000,100.000000,900.000000,0.00000000,0.00000000,Violation
164,1000.000000,100.000000,900.000000,0.00000000,0.00000000,Violation
165,1000.000000,100.000000,900.000000,0.00000000,0.00000000,Violation
166,1000.000000,100.000000,900.000000,0.00000000,0.00000000,Violation
167,1000.000000,100.000000,900.000000,0.00000000,0.00000000,Violation
168,1000.000000,100.000000,900.000000,0.00000000,0.00000000,Violation
169,1000.000000,100.000000,900.000000,0.00000000,0.00000000,Violation
170,1000.000000,100.000000,900.000000,0.00000000,0.00000000,Violation
171,1000.000000,100.000000,900.000000,0.00000000,0.00000000,Violation
172,1000.000000,100.000000,900.000000,0.00000000,0.00000000,Violation
173,1000.000000,100.000000,900.000000,0.00000000,0.00000000,Violation
174,1000.000000,100.000000,900.000000,0.00000000,0.00000000,Violation
175,1000.000000,100.000000,900.000000,0.00000000,0.00000000,Violation
176,1000.000000,100.000000,900.000000,0.00000000,0.00000000,Violation
177,1000.000000,100.000000,900.000000,0.00000000,0.00000000,Violation
178,1000.000000,100.000000,900.000000,0.00000000,0.00000000,Violation
179,1000.000000,100.000000,900.000000,0.00000000,0.00000000,Violation
180,1000.000000,100.000000,900.000000,0.00000000,0.00000000,Violation
181,1000.000000,100.000000,900.000000,0.00000000,0.00000000,Violation
182,1000.000000,100.000000,900.000000,0.00000000,0.00000000,Violation
183,1000.000000,100.000000,900.000000,0.00000000,0.00000000,Violation
184,1000.000000,100.000000,900.000000,0.00000000,0.00000000,Violation
185,1000.000000,100.000000,900.000000,0.00000000,0.00000000,Violation
186,1000.000000,100.000000,900.000000,0.00000000,0.00000000,Violation
187,1000.000000,100.000000,900.000000,0.00000000,0.00000000,Violation
188,1000.000000,100.000000,900.000000,0.00000000,0.00000000,Violation
189,1000.000000,100.000000,900.000000,0.00000000,0.00000000,Violation
190,1000.000000,100.000000,900.000000,0.00000000,0.00000000,Violation
191,1000.000000,100.000000,900.000000,0.00000000,0.00000000,Violation
192,1000.000000,100.000000,900.000000,0.00000000,0.00000000,Violation
193,1000.000000,100.000000,900.000000,0.00000000,0.00000000,Violation
194,1000.000000,100.000000,900.000000,0.00000000,0.00000000,Violation
195,1000.000000,100.000000,900.000000,0.00000000,0.00000000,Violation
196,1000.000000,100.000000,900.000000,0.00000000,0.00000000,Violation
197,1000.000000,100.000000,900.000000,0.00000000,0.00000000,Violation
198,1000.000000,100.000000,900.000000,0.00000000,0.00000000,Violation
199,1000.000000,100.000000,900.000000,0.00000000,0.00000000,Violation
